gradients/dynamic_seq2seq/decoder/decoder/while/TensorArrayWrite/TensorArrayWriteV3_grad/TensorArrayReadV3	TensorArrayReadV3	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(1x1 slot 1 slot )', '(int32 1x1)', '(1x1)'], ['(128x128)'], 1, 81, 169]}
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/TrainingHelperNextInputs/GreaterEqual	GreaterEqual	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)', '(int32 128x1)'], ['(boolean 128x1)'], 1, 69, 145]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_2_grad/Mul_1	Mul	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 46, 46], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(128x128)'], ['(128x128)'], 1, 168, 212], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 46, 46]}
dynamic_seq2seq/decoder/LuongAttention/memory_layer/Tensordot/MatMul	MatMul	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/job:localhost/replica:0/task:0/device:GPU:0': [['(2432x128)', '(128x128)'], ['(2432x128)'], 0, 25, 34], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_2_grad/BroadcastGradientArgs/StackPushV2_1	StackPushV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(int32 2x1)'], ['(int32 2x1)'], 1, 39, 92]}
dynamic_seq2seq/SparseSoftmaxCrossEntropyWithLogits/Reshape_1	Reshape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 19x128)', '(int32 1x1)'], ['(int32 2432x1)'], 0, 2, 3]}
edge_1074_dynamic_seq2seq/encoder/rnn/while/Less/MEMCPYHtoD	MEMCPYHtoD	{'/device:GPU:0/memcpy': [['(Transfer)'], ['(1 bytes)'], 0, 38, 38], '/device:GPU:0/stream:14': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 38, 38]}
gradients/Add	Add	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)', '(int32 1x1)'], ['(int32 1x1)'], 1, 62, 166]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/MatMul_grad/MatMul_1/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 1, 0, 4]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_grad/BroadcastGradientArgs/StackPopV2_1/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 0, 1, 3]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/MatMul/Enter_grad/Switch	Switch	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(256x512)', '(int32 1x1 slot 1 slot )', '(boolean 1x1)'], ['(256x512)'], 0, 7, 34]}
edge_585_dynamic_seq2seq/SequenceMask/Less/MEMCPYHtoD	MEMCPYHtoD	{'/device:GPU:0/memcpy': [['(Transfer)'], ['(2432 bytes)'], 0, 1, 1], '/device:GPU:0/stream:14': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1, 1]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/dropout/mul_grad/BroadcastGradientArgs/StackPushV2	StackPushV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(int32 2x1)'], ['(int32 2x1)'], 1, 41, 85]}
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/dropout/random_uniform/mul	Snapshot	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)'], ['(128x128)'], 1, 22, 59]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_1_grad/BroadcastGradientArgs/StackPopV2/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 1, 1, 4]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Add_1_grad/BroadcastGradientArgs/f_acc_1	StackV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)'], ['(tf_resource 1x1)'], 0, 5, 6]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Add_1_grad/BroadcastGradientArgs/StackPushV2_1	StackPushV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(int32 2x1)'], ['(int32 2x1)'], 1, 42, 90]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/luong_attention/MatMul/Enter_grad/Switch	Switch	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x19x128)', '(int32 1x1 slot 1 slot )', '(boolean 1x1)'], ['(128x19x128)'], 1, 16, 58]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/concat_grad/ShapeN/StackPopV2/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 0, 1, 3]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_1_grad/Mul_1/StackPopV2	StackPopV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(128x128)'], 1, 48, 111]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_2_grad/BroadcastGradientArgs/Const	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 1x1)'], 1, 1, 4]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/concat_grad/ShapeN	ShapeN	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(128x128)'], ['(int32 2x1)', '(int32 2x1 slot 1 slot )'], 0, 110, 259]}
dynamic_seq2seq/decoder/decoder/while/NextIteration_12	NextIteration	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(boolean 128x1)'], ['(boolean 128x1)'], 0, 32, 89]}
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/assert_equal/Assert/Assert/_270	Const	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(no input)'], ['(1x1)'], 0, 21, 46]}
dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/dropout/Shape	Shape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)'], ['(int32 2x1)'], 0, 45, 101]}
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/assert_equal/Assert/Assert/_273	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no output info)'], ['(1x1)'], 2, 50, 126]}
ConstantFolding/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/dropout/div_recip	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1)'], 0, 60, 119]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/BiasAdd/Enter_grad/Add	Add	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 33, 33], '/job:localhost/replica:0/task:0/device:GPU:0': [['(512x1)', '(512x1)'], ['(512x1)'], 0, 157, 207], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 33, 33]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/MatMul/Enter_grad/b_acc_3	Exit	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(256x512)'], ['(256x512)'], 1, 0, 3]}
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/dropout/Floor	Floor	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 42, 42], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)'], ['(128x128)'], 1, 171, 218], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 42, 42]}
global_norm/L2Loss_13	L2Loss	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 62, 62], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x17191)'], ['(1x1)'], 1, 35, 38], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 62, 62]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/basic_lstm_cell/MatMul_grad/MatMul_1/StackPopV2	StackPopV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(128x256)'], 1, 35, 114]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_1_grad/Reshape_1	Reshape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(int32 2x1)'], ['(128x128)'], 0, 20, 69]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/dropout/mul_grad/Mul_1/f_acc	StackV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(', '1', ')'], ['(tf_resource 1x1)'], 1, 3, 6]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/dropout/div_grad/Reshape	Reshape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(int32 2x1)'], ['(128x128)'], 0, 18, 51]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_1_grad/Mul/StackPopV2	StackPopV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(128x128)'], 1, 30, 95]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_1_grad/Sum_1	Sum	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(int32 1x1)'], ['(128x128)'], 0, 14, 35]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_2_grad/Mul_1	Mul	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 42, 42], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(128x128)'], ['(128x128)'], 0, 147, 188], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 42, 42]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_1_grad/Shape_1	Shape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)'], ['(int32 2x1)'], 1, 35, 84]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/Add_grad/Sum	Sum	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(int32 1x1)', '(int32 2x1 slot 1 slot )'], ['(128x128)'], 1, 17, 35]}
gradients/dynamic_seq2seq/encoder/embedding_lookup_grad/ExpandDims/dim	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 1x1)'], 0, 2, 4]}
edge_464_IteratorGetNext/MEMCPYHtoD	MEMCPYHtoD	{'/device:GPU:0/memcpy': [['(Transfer)'], ['(9728 bytes)'], 0, 1, 1], '/device:GPU:0/stream:14': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1, 1]}
edge_1907_dynamic_seq2seq/encoder/rnn/while/Exit_6/assert_shape/is_shape/all_equal/equal/MEMCPYHtoD	MEMCPYHtoD	{'/device:GPU:0/memcpy': [['(Transfer)'], ['(2 bytes)'], 0, 2, 2], '/device:GPU:0/stream:14': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
dynamic_seq2seq/decoder/DeviceWrapperZeroState/AttentionWrapperZeroState/assert_equal/Equal	Equal	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)', '(int32 1x1)'], ['(boolean 1x1)'], 1, 5, 8]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/concat_grad/ShapeN/StackPopV2_1/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 1, 1, 4]}
dynamic_seq2seq/encoder/rnn/while/TensorArrayReadV3/Enter_1	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x1)'], ['(1x1)'], 0, 1, 4]}
gradients/dynamic_seq2seq/encoder/rnn/while/Select_3_grad/zeros_like/StackPopV2	StackPopV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(128x128)'], 1, 33, 109]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/concat_grad/Slice_1	Slice	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 38, 38], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256)', '(int32 2x1)', '(int32 2x1)'], ['(128x128)'], 0, 207, 276], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 38, 38]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Add_1_grad/BroadcastGradientArgs	BroadcastGradientArgs	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 2x1)', '(int32 2x1)'], ['(int32 1x1)', '(int32 1x1 slot 1 slot )'], 0, 48, 133]}
dynamic_seq2seq/decoder/LuongAttention/SequenceMask/Range	Range	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)', '(int32 1x1)', '(int32 1x1)'], ['(int32 19x1)'], 0, 3, 5]}
gradients/dynamic_seq2seq/truediv_grad/RealDiv	Reciprocal	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3], '/job:localhost/replica:0/task:0/device:GPU:0': [['(1x1)'], ['(1x1)'], 0, 181, 186], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/concat_grad/ShapeN/f_acc	StackV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(', '1', ')'], ['(tf_resource 1x1)'], 0, 5, 7]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/concat_grad/Slice_1	Slice	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 47, 47], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256)', '(int32 2x1)', '(int32 2x1)'], ['(128x128)'], 1, 175, 239], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 47, 47]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/dropout/mul_grad/Mul_1/StackPopV2	StackPopV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(128x256)'], 0, 41, 107]}
dynamic_seq2seq/encoder/rnn/while/Exit_5/assert_shape/Assert/_232	Const	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(no input)'], ['(1x1)'], 0, 2, 3]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/dropout/mul_grad/Mul/StackPushV2	StackPushV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(128x128)'], ['(128x128)'], 0, 42, 81]}
gradients/dynamic_seq2seq/encoder/rnn/while/TensorArrayWrite/TensorArrayWriteV3_grad/TensorArrayReadV3/StackPopV2/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 0, 1, 3]}
dynamic_seq2seq/decoder/decoder/while/NextIteration	NextIteration	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)'], ['(int32 1x1)'], 1, 26, 78]}
clipped_gradient	ScalarSummary	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(string 1x1)', '(1x1)'], ['(string 1x1)'], 0, 9, 14]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Add_1_grad/BroadcastGradientArgs/StackPopV2	StackPopV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(int32 2x1)'], 0, 34, 92]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_grad/BroadcastGradientArgs/StackPushV2_1	StackPushV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(int32 2x1)'], ['(int32 2x1)'], 1, 29, 70]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/luong_attention/mul_grad/Mul/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 1, 1, 4]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_2_grad/Reshape_1	Reshape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(int32 2x1)'], ['(128x128)'], 0, 18, 51]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Add_grad/Shape	Shape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)'], ['(int32 2x1)'], 0, 53, 104]}
dynamic_seq2seq/decoder/decoder/TrainingHelperInitialize/Equal	Equal	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)', '(int32 128x19)', '(int32 128x19 slot 1 slot )', '(int32 128x19 slot 2 slot )', '(int32 128x1 slot 3 slot )', '(int32 128x1 slot 4 slot )'], ['(boolean 128x1)'], 1, 8, 14]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_grad/Mul/StackPushV2	StackPushV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(128x128)'], ['(128x128)'], 0, 38, 75]}
dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_0/basic_lstm_cell/Sigmoid_1	Sigmoid	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 48, 48], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(128x128 slot 1 slot )', '(128x128 slot 2 slot )', '(128x128 slot 3 slot )'], ['(128x128)'], 1, 307, 366], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 48, 48]}
global_norm/L2Loss_3	L2Loss	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/job:localhost/replica:0/task:0/device:GPU:0': [['(512x1)'], ['(1x1)'], 0, 9, 11], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/basic_lstm_cell/BiasAdd/Enter_grad/b_acc_3	Exit	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(512x1)'], ['(512x1)'], 0, 1, 2]}
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_1	Mul	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 44, 44], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(128x128)'], ['(128x128)'], 1, 223, 276], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 44, 44]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/luong_attention/MatMul/Enter_grad/zeros/Const	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1)'], 1, 2, 5]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/concat_grad/ShapeN/StackPopV2_1/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 1, 0, 4]}
gradients/Const_1	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1)'], 0, 51, 83]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_0/basic_lstm_cell/Mul_1_grad/BroadcastGradientArgs/f_acc_1	StackV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 1x1)'], ['(tf_resource 1x1)'], 0, 4, 6]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/TrainingHelperNextInputs/cond/TensorArrayReadV3/Enter_1_grad/b_acc_3	Exit	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x1)'], ['(1x1)'], 1, 1, 3]}
global_norm_1/Const	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 1x1)'], 1, 1, 7]}
gradients/dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/attention/multi_rnn_cell/cell_1/dropout/div_grad/BroadcastGradientArgs/StackPushV2	StackPushV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)', '(int32 2x1)'], ['(int32 2x1)'], 1, 36, 81]}
dynamic_seq2seq/decoder/DeviceWrapperZeroState/AttentionWrapperZeroState/zeros_2/assert_shape/Assert/_104	Const	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(no input)'], ['(1x1)'], 0, 2, 3]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_1_grad/Shape_1	Shape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)'], ['(int32 2x1)'], 1, 36, 92]}
gradients/dynamic_seq2seq/encoder/rnn/while/rnn/multi_rnn_cell/cell_1/basic_lstm_cell/Mul_2_grad/Mul/Enter	Enter	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(tf_resource 1x1)'], ['(tf_resource 1x1)'], 0, 1, 4]}
gradients/dynamic_seq2seq/decoder/decoder/while/Merge_7_grad/Switch	Switch	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(128x128)', '(int32 1x1 slot 1 slot )', '(boolean 1x1)'], ['(128x128)'], 0, 11, 41]}
