Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
28	    271.1	2	    542.2	      0.7	  74524.9	     92.1	MEMCPYHtoD	GPU-0	(no input)->transfer 3200000 bytes
29	      6.6	80	    528.6	      0.7	  75053.5	     92.8	Tanh	GPU-0	(200x200)->(200x200)
30	      6.5	80	    518.0	      0.6	  75571.5	     93.4	Add	GPU-0	(200x200)(200x200)(200x200)(200x200)(1x1)->(200x200)
31	    491.1	1	    491.1	      0.6	  76062.6	     94.0	ScatterSub	CPU-0	(10000x200)((int32) 4000x1)(4000x200)->(10000x200)
32	      6.1	80	    487.8	      0.6	  76550.4	     94.6	Add	GPU-0	(200x200)(200x200)->(200x200)
33	     60.0	8	    480.1	      0.6	  77030.5	     95.2	AddN	GPU-0	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)
34	      5.9	80	    470.4	      0.6	  77500.9	     95.8	Sigmoid	GPU-0	(200x200)->(200x200)
35	    345.4	1	    345.4	      0.4	  77846.3	     96.2	embedding_lookup	CPU-0	(10000x200)((int32) 200x20)(1x1)->(200x20x200)
36	      7.2	38	    273.4	      0.3	  78119.7	     96.6	AddN	GPU-0	(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)->(200x200)
37	    253.8	1	    253.8	      0.3	  78373.5	     96.9	mul	CPU-0	(4000x200)(1x1)->(4000x200)
38	     85.8	2	    171.7	      0.2	  78545.2	     97.1	ApplyGradientDescent	GPU-0	(200x10000)(1x1)(200x10000)->(200x10000)
39	     17.9	8	    142.8	      0.2	  78688.0	     97.3	MEMCPYHtoD	GPU-0	(no input)->transfer 160000 bytes
40	     16.1	8	    128.6	      0.2	  78816.6	     97.4	MEMCPYDtoH	GPU-0	(no input)->transfer 160000 bytes
41	     57.6	2	    115.2	      0.1	  78931.8	     97.6	mul	GPU-0	(200x10000)(1x1)->(200x10000)
42	     15.4	6	     92.2	      0.1	  79024.0	     97.7	L2Loss	GPU-0	(400x800)->(1x1)
43	     30.5	3	     91.5	      0.1	  79115.5	     97.8	L2Loss	GPU-0	(200x10000)->(1x1)
44	     22.4	4	     89.7	      0.1	  79205.2	     97.9	ApplyGradientDescent	GPU-0	(400x800)(1x1)(400x800)->(400x800)
45	      9.5	8	     76.1	      0.1	  79281.3	     98.0	AddN	GPU-0	(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)->(800x1)
46	     74.8	1	     74.8	      0.1	  79356.1	     98.1	split	GPU-0	(200x4000)(1x1)(1x1)->(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)
47	     74.1	1	     74.1	      0.1	  79430.2	     98.2	stack	GPU-0	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(7x1)
48	     23.8	3	     71.3	      0.1	  79501.5	     98.3	L2Loss	GPU-0	(4000x200)->(1x1)
49	      1.6	40	     66.0	      0.1	  79567.5	     98.4	Sum	GPU-0	(200x200)(1x1)->(200x200)
50	     33.0	2	     65.9	      0.1	  79633.4	     98.4	DynamicStitch	GPU-0	(1x1)(1x1)(1|2|3x1)(1x1)->((int32) 2x1)
51	     64.5	1	     64.5	      0.1	  79697.9	     98.5	SplitV	GPU-0	(no input)->(no output)
52	     60.5	1	     60.5	      0.1	  79758.4	     98.6	GradientDescent	GPU-0	((int64) 1x1)((int64) 1x1)->((int64) 1x1)
53	     13.9	4	     55.6	      0.1	  79814.0	     98.7	mul	GPU-0	(400x800)(1x1)->(400x800)
54	     51.5	1	     51.5	      0.1	  79865.5	     98.7	concat	GPU-0	(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(1x1)->(200x4000)
55	     23.9	2	     47.8	      0.1	  79913.3	     98.8	mul	GPU-0	(4000x200)(1x1)->(4000x200)
56	      1.1	40	     42.1	      0.1	  79955.4	     98.8	Reshape	GPU-0	(200x200)(1|2|3x1)->(200x200)
57	     20.4	2	     40.8	      0.1	  79996.2	     98.9	Tile	GPU-0	(1x20)((int32) 2x1)->(200x20)
58	     18.3	2	     36.6	      0.0	  80032.8	     98.9	Sum	GPU-0	(20x1)(1x1)->(1x1)
59	      8.8	4	     35.2	      0.0	  80068.0	     99.0	Mul	GPU-0	(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)->(200x200)
60	      1.5	22	     33.3	      0.0	  80101.3	     99.0	stack	GPU-0	(1x1 Const)->((int32) 3x1)
61	      8.2	4	     32.7	      0.0	  80134.0	     99.1	L2Loss	GPU-0	(800x1)->(1x1)
62	     32.1	1	     32.1	      0.0	  80166.1	     99.1	input_producer_Dequeue	CPU-0	((type 20) 1x1)->((int32) 1x1)
63	     10.6	3	     31.7	      0.0	  80197.8	     99.1	Sum	GPU-0	(200x20)(1|2|3x1)->(20x1)
64	      7.8	4	     31.0	      0.0	  80228.8	     99.2	mul	GPU-0	(1x1)(1x1)->(1x1)
65	     10.1	3	     30.3	      0.0	  80259.1	     99.2	L2Loss	GPU-0	(10000x1)->(1x1)
66	     15.0	2	     30.0	      0.0	  80289.1	     99.2	StridedSlice	GPU-0	(1|2|3x1)((int32) 2x1)((int32) 2x1)(1|2|3x1)->((int32) 200x20)
67	      7.2	4	     28.9	      0.0	  80318.0	     99.3	ApplyGradientDescent	GPU-0	(800x1)(1x1)(800x1)->(800x1)
68	     25.0	1	     25.0	      0.0	  80343.0	     99.3	add	GPU-0	((int32) 1x1)(1|2|3x1)->((int32) 1x1)
69	      6.1	4	     24.5	      0.0	  80367.5	     99.3	mul	GPU-0	(800x1)(1x1)->(800x1)
70	     11.2	2	     22.3	      0.0	  80389.8	     99.4	Sum	GPU-0	(7x1)(1x1)->(1x1)
71	     10.6	2	     21.2	      0.0	  80411.0	     99.4	Mul	GPU-0	(4000x1)(4000x10000)->(4000x1)
72	      8.8	2	     17.6	      0.0	  80428.6	     99.4	mul	GPU-0	((int32) 1x1)((int32) 1x1)->((int32) 1x1)
73	      8.7	2	     17.4	      0.0	  80446.0	     99.4	Minimum	GPU-0	(1x1)(1x1)->(1x1)
74	     17.3	1	     17.3	      0.0	  80463.3	     99.5	strided_slice	GPU-0	(1x1)(1|2|3x1)(1|2|3x1)(1|2|3x1)->((int32) 1x1)
75	      8.3	2	     16.7	      0.0	  80480.0	     99.5	kernel	GPU-0	(1x1 Const)->(400x800)
76	     15.4	1	     15.4	      0.0	  80495.4	     99.5	input_producer	CPU-0	(1x1 Const)->((type 20) 1x1)
77	      7.7	2	     15.3	      0.0	  80510.7	     99.5	ApplyGradientDescent	GPU-0	(10000x1)(1x1)(10000x1)->(10000x1)
78	     15.2	1	     15.2	      0.0	  80525.9	     99.5	truediv	GPU-0	(20x1)(1|2|3x1)->(20x1)
79	      7.5	2	     14.9	      0.0	  80540.8	     99.6	mul	GPU-0	(4000x1)(4000x10000)(4000x10000)->(4000x1)
80	      7.3	2	     14.7	      0.0	  80555.5	     99.6	mul	GPU-0	(10000x1)(1x1)->(10000x1)
81	      1.0	14	     14.0	      0.0	  80569.5	     99.6	MEMCPYDtoD	GPU-0	(no input)->transfer 4 bytes
82	     13.4	1	     13.4	      0.0	  80582.9	     99.6	Shape	GPU-0	(20x1)->((int32) 1x1)
83	     12.5	1	     12.5	      0.0	  80595.4	     99.6	xw_plus_b	GPU-0	(4000x10000)(10000x1)->(4000x10000)
84	     12.0	1	     12.0	      0.0	  80607.4	     99.6	truediv	GPU-0	(1x1)(1x1)->(1x1)
85	     11.3	1	     11.3	      0.0	  80618.7	     99.7	global_norm	GPU-0	(1x1)->(1x1)
86	      5.2	2	     10.4	      0.0	  80629.1	     99.7	_SOURCE	GPU-0	(1x1 Const)->(no output)
87	      9.7	1	      9.7	      0.0	  80638.8	     99.7	Maximum	GPU-0	((int32) 2x1)((int32) 1x1)->((int32) 2x1)
88	      9.3	1	      9.3	      0.0	  80648.1	     99.7	begin	GPU-0	((int32) 1x1)((int32) 1x1)->((int32) 2x1)
89	      8.8	1	      8.8	      0.0	  80656.9	     99.7	embedding	CPU-0	(1x1 Const)->(10000x200)
90	      2.1	4	      8.6	      0.0	  80665.5	     99.7	zeros	CPU-0	(1x1 Const)->(200x200)
91	      8.5	1	      8.5	      0.0	  80674.0	     99.7	NoOp	GPU-0	(no output)->(1x1)
92	      8.4	1	      8.4	      0.0	  80682.4	     99.7	Reshape	GPU-0	(20x1)((int32) 2x1)->(1x20)
93	      8.2	1	      8.2	      0.0	  80690.6	     99.7	concat	GPU-0	(1|2|3x1)((int32) 1x1)(1x1)->((int32) 2x1)
94	      1.6	5	      7.8	      0.0	  80698.4	     99.8	__cf_	GPU-0	(1x1 Const)->((int32) 1x1)
95	      7.1	1	      7.1	      0.0	  80705.5	     99.8	end	GPU-0	((int32) 1x1)((int32) 1x1)->((int32) 2x1)
96	      5.8	1	      5.8	      0.0	  80711.3	     99.8	end	GPU-0	((int32) 200x20)((int32) 1x1)->((int32) 2x1)
97	      5.8	1	      5.8	      0.0	  80717.1	     99.8	begin	GPU-0	((int32) 200x20)((int32) 1x1)->((int32) 2x1)
98	      2.9	2	      5.7	      0.0	  80722.8	     99.8	RealDiv	GPU-0	(no input)->(no output)
99	      2.9	2	      5.7	      0.0	  80728.5	     99.8	y	GPU-0	(1x1 Const)->((int32) 1x1)
100	      2.9	2	      5.7	      0.0	  80734.2	     99.8	Add	CPU-0	(200x200)->(no output)
101	      0.9	6	      5.5	      0.0	  80739.7	     99.8	__cf_	GPU-0	(1x1 Const)->((int32) 2x1)
102	      2.7	2	      5.4	      0.0	  80745.1	     99.8	read	GPU-0	(400x800)->(400x800)
103	      2.5	2	      4.9	      0.0	  80750.0	     99.8	Const	GPU-0	(1x1 Const)->(1x1)
104	      2.4	2	      4.8	      0.0	  80754.8	     99.8	MEMCPYHtoD	GPU-0	(no input)->transfer 16000 bytes
105	      4.7	1	      4.7	      0.0	  80759.5	     99.8	softmax_w	GPU-0	(1x1 Const)->(200x10000)
106	      2.4	2	      4.7	      0.0	  80764.2	     99.8	bias	GPU-0	(1x1 Const)->(800x1)
107	      4.4	1	      4.4	      0.0	  80768.6	     99.8	Reshape	GPU-0	((int32) 200x20)((int32) 1x1)->((int32) 4000x1)
108	      2.2	2	      4.4	      0.0	  80773.0	     99.8	add	GPU-0	((int32) 1x1)((int32) 1x1)->((int32) 1x1)
109	      1.0	4	      4.0	      0.0	  80777.0	     99.8	MEMCPYHtoD	GPU-0	(no input)->transfer 84 bytes
110	      1.0	4	      4.0	      0.0	  80781.0	     99.9	MEMCPYDtoH	GPU-0	(no input)->transfer 4 bytes
111	      3.9	1	      3.9	      0.0	  80784.9	     99.9	global_step	GPU-0	(1x1 Const)->((int64) 1x1)
112	      3.7	1	      3.7	      0.0	  80788.6	     99.9	NoOp	CPU-0	(no output)->(1x1)
113	      1.6	2	      3.2	      0.0	  80791.8	     99.9	Mul	CPU-0	(200x200)->(no output)
114	      3.1	1	      3.1	      0.0	  80794.9	     99.9	Reshape	GPU-0	(200x4000)((int32) 2x1)->(4000x200)
115	      3.1	1	      3.1	      0.0	  80798.0	     99.9	ExpandDims	GPU-0	(4000x1)((int32) 1x1)->(4000x1)
116	      3.1	1	      3.1	      0.0	  80801.1	     99.9	floordiv	GPU-0	(1|2|3x1)((int32) 2x1)->((int32) 2x1)
117	      1.0	3	      3.0	      0.0	  80804.1	     99.9	Shape	GPU-0	(1x1 Const)->((int32) 2x1)
118	      3.0	1	      3.0	      0.0	  80807.1	     99.9	value	GPU-0	(no output)->((int64) 1x1)
119	      2.8	1	      2.8	      0.0	  80809.9	     99.9	axis	CPU-0	(1x1 Const)->((int32) 1x1)
120	      2.8	1	      2.8	      0.0	  80812.7	     99.9	Shape	GPU-0	(200x20)->((int32) 2x1)
121	      2.8	1	      2.8	      0.0	  80815.5	     99.9	update	GPU-0	(no output)(1x1)->(no output)
122	      2.8	1	      2.8	      0.0	  80818.3	     99.9	Shape	GPU-0	(1x1 Const)->((int32) 1x1)
123	      2.8	1	      2.8	      0.0	  80821.1	     99.9	shape	GPU-0	(1x1 Const)->((int32) 1x1)
124	      1.4	2	      2.7	      0.0	  80823.8	     99.9	__cf_	GPU-0	(1x1 Const)->(20x1)
125	      2.7	1	      2.7	      0.0	  80826.5	     99.9	BroadcastGradientArgs	GPU-0	(1|2|3x1)(1|2|3x1)->((int32) 1x1)((int32) 1x1)
126	      2.6	1	      2.6	      0.0	  80829.1	     99.9	Sqrt	GPU-0	(no input)->(no output)
127	      2.6	1	      2.6	      0.0	  80831.7	     99.9	Reshape	GPU-0	(4000x10000)(1|2|3x1)->(200x20x10000)
128	      2.5	1	      2.5	      0.0	  80834.2	     99.9	Sum	CPU-0	(1x1)->(no output)
129	      1.2	2	      2.5	      0.0	  80836.7	     99.9	x	GPU-0	(1x1 Const)->(1x1)
130	      2.4	1	      2.4	      0.0	  80839.1	     99.9	shape	GPU-0	(1x1 Const)->((int32) 2x1)
131	      1.1	2	      2.3	      0.0	  80841.4	     99.9	read	GPU-0	(800x1)->(800x1)
132	      2.2	1	      2.2	      0.0	  80843.6	     99.9	AssignAdd	GPU-0	(no input)->(no output)
133	      1.1	2	      2.2	      0.0	  80845.8	     99.9	MEMCPYHtoD	GPU-0	(no input)->transfer 4 bytes
134	      2.2	1	      2.2	      0.0	  80848.0	     99.9	Reshape	GPU-0	((int32) 200x20)(1|2|3x1)->((int32) 4000x1)
135	      1.1	2	      2.1	      0.0	  80850.1	     99.9	Reshape	GPU-0	(200x20x10000)(1|2|3x1)->(4000x10000)
136	      2.1	1	      2.1	      0.0	  80852.2	     99.9	Reshape	GPU-0	(200x20x200)((int32) 2x1)->(4000x200)
137	      2.1	1	      2.1	      0.0	  80854.3	     99.9	Reshape	GPU-0	(200x20)(1|2|3x1)->(4000x1)
138	      1.0	2	      2.0	      0.0	  80856.3	     99.9	MEMCPYHtoD	GPU-0	(no input)->transfer 160 bytes
139	      1.0	2	      2.0	      0.0	  80858.3	     99.9	MEMCPYDtoH	GPU-0	(no input)->transfer 8 bytes
140	      1.0	2	      2.0	      0.0	  80860.3	    100.0	MEMCPYHtoD	GPU-0	(no input)->transfer 8 bytes
141	      2.0	1	      2.0	      0.0	  80862.3	    100.0	softmax_b	GPU-0	(1x1 Const)->(10000x1)
142	      1.9	1	      1.9	      0.0	  80864.2	    100.0	Sum	GPU-0	(1|2|3x1)(1x1)->(20x1)
143	      1.9	1	      1.9	      0.0	  80866.1	    100.0	Variable	GPU-0	(1x1 Const)->(1x1)
144	      1.8	1	      1.8	      0.0	  80867.9	    100.0	end	GPU-0	(1x1 Const)->((int32) 1x1)
145	      1.8	1	      1.8	      0.0	  80869.7	    100.0	PreventGradient	GPU-0	(4000x1)(4000x10000)->(4000x10000)
146	      0.8	2	      1.7	      0.0	  80871.4	    100.0	clip_by_global_norm	GPU-0	(800x1)->(800x1)
147	      1.7	1	      1.7	      0.0	  80873.1	    100.0	Reshape	GPU-0	(4000x1)(4000x10000)->(200x20)
148	      1.6	1	      1.6	      0.0	  80874.7	    100.0	begin	GPU-0	(1x1 Const)->((int32) 1x1)
149	      1.6	1	      1.6	      0.0	  80876.3	    100.0	clip_by_global_norm	GPU-0	(4000x200)->(4000x200)
150	      1.6	1	      1.6	      0.0	  80877.9	    100.0	__cf_	CPU-0	(1x1 Const)->((int32) 2x1)
151	      1.5	1	      1.5	      0.0	  80879.4	    100.0	Reshape	GPU-0	(4000x10000)((int32) 3x1)->(200x20x10000)
152	      1.4	1	      1.4	      0.0	  80880.8	    100.0	dim	GPU-0	(1x1 Const)->((int32) 1x1)
153	      0.7	2	      1.4	      0.0	  80882.2	    100.0	clip_by_global_norm	GPU-0	(400x800)->(400x800)
154	      1.4	1	      1.4	      0.0	  80883.6	    100.0	__cf_	GPU-0	(1x1 Const)->(4000x1)
155	      1.3	1	      1.3	      0.0	  80884.9	    100.0	Reshape	GPU-0	(20x1)(1|2|3x1)->(20x1)
156	      1.3	1	      1.3	      0.0	  80886.2	    100.0	read	GPU-0	(200x10000)->(200x10000)
157	      1.2	1	      1.2	      0.0	  80887.4	    100.0	read	CPU-0	(10000x200)->(10000x200)
158	      1.2	1	      1.2	      0.0	  80888.6	    100.0	Shape	GPU-0	(1x1 Const)->((int32) 3x1)
159	      1.2	1	      1.2	      0.0	  80889.8	    100.0	__cf_	GPU-0	(1x1 Const)->(1x1)
160	      1.2	1	      1.2	      0.0	  80891.0	    100.0	Reshape	GPU-0	(4000x200)(1|2|3x1)->(200x4000)
161	      1.1	1	      1.1	      0.0	  80892.1	    100.0	__cf_	GPU-0	(1x1 Const)->((int32) 200x4647)
162	      1.0	1	      1.0	      0.0	  80893.1	    100.0	NoOp	GPU-0	(400x800)(800x1)(400x800)(800x1)(200x10000)(10000x1)->(no output)
163	      1.0	1	      1.0	      0.0	  80894.1	    100.0	shape	GPU-0	(1x1 Const)->((int32) 3x1)
164	      0.9	1	      0.9	      0.0	  80895.0	    100.0	clip_by_global_norm	GPU-0	(200x10000)->(200x10000)
165	      0.9	1	      0.9	      0.0	  80895.9	    100.0	read	GPU-0	(1x1)->(1x1)
166	      0.8	1	      0.8	      0.0	  80896.7	    100.0	__cf_	GPU-0	(1x1 Const)->((int32) 20x1)
167	      0.8	1	      0.8	      0.0	  80897.5	    100.0	read	GPU-0	(10000x1)->(10000x1)
168	      0.7	1	      0.7	      0.0	  80898.2	    100.0	NoOp	CPU-0	(10000x200)->(no output)
169	      0.6	1	      0.6	      0.0	  80898.8	    100.0	clip_by_global_norm	GPU-0	(10000x1)->(10000x1)
