Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
11	      9.6	698	   6727.3	      2.5	 110575.8	     40.8	Select	GPU-0	((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
12	   3095.8	2	   6191.7	      2.3	 116767.5	     43.1	MatMul	GPU-0	(3712x128)(128x17191)->(3712x17191)
13	      8.0	698	   5604.3	      2.1	 122371.8	     45.1	Slice	GPU-0	(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(2x1)(2x1)->(128x128)
14	      7.5	698	   5211.7	      1.9	 127583.5	     47.1	TanhGrad	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
15	     14.9	349	   5209.9	      1.9	 132793.4	     49.0	split	GPU-0	(1x1)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)->(128x128)
16	   2515.2	2	   5030.3	      1.9	 137823.7	     50.8	MatMul	GPU-0	(3712x128)(3712x17191)->(128x17191)
17	      7.2	698	   5013.0	      1.8	 142836.7	     52.7	Sigmoid	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
18	     13.9	349	   4842.9	      1.8	 147679.6	     54.5	Select	GPU-0	((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)(?x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
19	     13.3	349	   4656.7	      1.7	 152336.3	     56.2	BiasAddGrad	GPU-0	(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)->(512x1)
20	      2.0	2095	   4210.9	      1.6	 156547.2	     57.7	StackPushV2	GPU-0	(2x1)(2x1)->((int32) 2x1)
21	      6.4	640	   4116.2	      1.5	 160663.4	     59.3	AddN	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
22	     11.6	349	   4034.9	      1.5	 164698.3	     60.8	Add	GPU-0	(256x512)(256x512)->(256x512)
23	      2.1	1862	   3953.9	      1.5	 168652.2	     62.2	Shape	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->((int32) 2x1)
24	     10.8	349	   3758.4	      1.4	 172410.6	     63.6	RandomUniform	GPU-0	(2x1)->(128x128)
25	      1.8	2095	   3720.6	      1.4	 176131.2	     65.0	StackPopV2	GPU-0	(2x1)->((int32) 2x1)
26	   1801.8	2	   3603.5	      1.3	 179734.7	     66.3	mul	GPU-0	(3712x1)(?x?)->(3712x17191)
27	      1.7	1920	   3262.3	      1.2	 182997.0	     67.5	StackPopV2	GPU-0	(2x1)->(128x128)
28	      9.2	349	   3203.8	      1.2	 186200.8	     68.7	AddN	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
29	      9.0	349	   3127.8	      1.2	 189328.6	     69.8	zeros_like	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
30	      8.9	349	   3107.1	      1.1	 192435.7	     71.0	add	GPU-0	(1x1)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
31	      2.0	1542	   3099.0	      1.1	 195534.7	     72.1	StackPushV2	GPU-0	(2x1)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
32	      8.6	349	   3004.5	      1.1	 198539.2	     73.2	mul	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
33	      8.5	349	   2966.9	      1.1	 201506.1	     74.3	BiasAdd	GPU-0	(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(512x1)->(128x512)
34	      8.3	349	   2892.8	      1.1	 204398.9	     75.4	Mul	GPU-0	(?x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
35	      7.9	349	   2757.8	      1.0	 207156.7	     76.4	Add	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(1x1)->(128x128)
36	      7.8	349	   2729.8	      1.0	 209886.5	     77.4	Add	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
37	      7.7	349	   2691.2	      1.0	 212577.7	     78.4	Tanh	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
38	      7.5	349	   2625.2	      1.0	 215202.9	     79.4	Floor	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
39	      7.2	349	   2505.3	      0.9	 217708.2	     80.3	Sigmoid	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
40	      6.9	349	   2415.6	      0.9	 220123.8	     81.2	Add	GPU-0	(512x1)(512x1)->(512x1)
41	     13.9	174	   2414.5	      0.9	 222538.3	     82.1	RealDiv	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(1x1)->(128x128)
42	      6.9	349	   2403.9	      0.9	 224942.2	     83.0	Tanh	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
43	     16.1	145	   2328.9	      0.9	 227271.1	     83.8	div	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(1x1)->(128x128)
44	      1.1	1920	   2122.2	      0.8	 229393.3	     84.6	Reshape	GPU-0	(1x1)(2x1)->(128x128)
45	      1.3	1571	   1970.9	      0.7	 231364.2	     85.3	Sum	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)((int32) 1x1)->(128x128)
46	      2.5	698	   1711.1	      0.6	 233075.3	     86.0	ConcatV2	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(1x1)->(128x512)
47	      1.7	874	   1506.6	      0.6	 234581.9	     86.5	BroadcastGradientArgs	GPU-0	(2x1)(2x1)->((int32) 1x1)
48	      2.3	503	   1153.8	      0.4	 235735.7	     87.0	MEMCPYHtoD	GPU-0	(no input)->(no output)
49	      9.1	116	   1053.0	      0.4	 236788.7	     87.4	Add	GPU-0	(1x1)(1x1)->(1x1)
50	      2.9	349	   1011.8	      0.4	 237800.5	     87.7	BroadcastGradientArgs	GPU-0	(2x1)(0x1)->((int32) 1x1)
51	      2.4	391	    919.1	      0.3	 238719.6	     88.1	b_switch	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
52	      2.5	349	    872.2	      0.3	 239591.8	     88.4	ConcatV2	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(?x128)(1x1)->(128x256)
53	      2.6	320	    842.9	      0.3	 240434.7	     88.7	Mul	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(1x1)->(128x128)
54	      1.0	782	    784.6	      0.3	 241219.3	     89.0	Switch	GPU-0	(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(128x128)((int32) 1x1)(1x1)->(128x128)
55	     13.5	58	    781.9	      0.3	 242001.2	     89.3	All	GPU-0	((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)((type 10) 128x1)(1x1)->((type 10) 1x1)
56	      2.0	378	    773.8	      0.3	 242775.0	     89.6	StackPushV2	GPU-0	(2x1)(?x128)->(128x128)
57	    763.1	1	    763.1	      0.3	 243538.1	     89.8	TensorArrayScatterV3	CPU-0	(2x1)((int32) 29x1)(29x128x128)(1x1)->(1x1)
