Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensors
30	     32.8	5	    163.8	      0.9	  16603.7	     92.6	Conv2D	GPU-0	(1x17x17x128)(7x1x128x192)->(1x17x17x192)
31	     29.1	5	    145.4	      0.8	  16749.1	     93.4	Conv2D	GPU-0	(1x17x17x128)(1x7x128x192)->(1x17x17x192)
32	     26.2	5	    131.0	      0.7	  16880.1	     94.1	Conv2D	GPU-0	(1x299x299x3)(3x3x3x32)->(1x149x149x32)
33	     29.4	4	    117.5	      0.7	  16997.6	     94.8	Conv2D	GPU-0	(1x17x17x768)(1x1x768x160)->(1x17x17x160)
34	     21.6	5	    107.9	      0.6	  17105.5	     95.4	Conv2D	GPU-0	(1x35x35x96)(3x3x96x96)->(1x17x17x96)
35	     25.9	4	    103.7	      0.6	  17209.2	     96.0	Conv2D	GPU-0	(1x35x35x288)(1x1x288x64)->(1x35x35x64)
36	     23.7	3	     71.0	      0.4	  17280.2	     96.4	Conv2D	GPU-0	(1x35x35x256)(1x1x256x64)->(1x35x35x64)
37	     59.4	1	     59.4	      0.3	  17339.6	     96.7	MatMul	GPU-0	(1x2048)(2048x1008)->(1x1008)
38	     57.4	1	     57.4	      0.3	  17397.0	     97.0	Conv2D	GPU-0	(1x73x73x64)(1x1x64x80)->(1x73x73x80)
39	     26.9	2	     53.8	      0.3	  17450.8	     97.3	Conv2D	GPU-0	(1x17x17x768)(1x1x768x128)->(1x17x17x128)
40	     46.6	1	     46.6	      0.3	  17497.4	     97.6	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x448)->(1x8x8x448)
41	     46.1	1	     46.1	      0.3	  17543.5	     97.8	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x384)->(1x8x8x384)
42	     19.8	2	     39.5	      0.2	  17583.0	     98.1	Conv2D	GPU-0	(1x35x35x192)(1x1x192x64)->(1x35x35x64)
43	     39.0	1	     39.0	      0.2	  17622.0	     98.3	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x320)->(1x8x8x320)
44	     36.1	1	     36.1	      0.2	  17658.1	     98.5	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x192)->(1x8x8x192)
45	     35.1	1	     35.1	      0.2	  17693.2	     98.7	ResizeBilinear	GPU-0	(1|2|3x1)(int32 2x1)->(1x299x299x3)
46	     29.3	1	     29.3	      0.2	  17722.5	     98.8	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x448)->(1x8x8x448)
47	     28.5	1	     28.5	      0.2	  17751.0	     99.0	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x384)->(1x8x8x384)
48	     27.1	1	     27.1	      0.2	  17778.1	     99.1	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x320)->(1x8x8x320)
49	     25.5	1	     25.5	      0.1	  17803.6	     99.3	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x192)->(1x8x8x192)
50	     23.8	1	     23.8	      0.1	  17827.4	     99.4	Conv2D	GPU-0	(1x35x35x288)(1x1x288x48)->(1x35x35x48)
51	     22.5	1	     22.5	      0.1	  17849.9	     99.5	Conv2D	GPU-0	(1x35x35x192)(1x1x192x32)->(1x35x35x32)
52	     20.3	1	     20.3	      0.1	  17870.2	     99.7	Conv2D	GPU-0	(1x35x35x256)(1x1x256x48)->(1x35x35x48)
53	     15.8	1	     15.8	      0.1	  17886.0	     99.8	Conv2D	GPU-0	(1x35x35x192)(1x1x192x48)->(1x35x35x48)
54	      5.2	3	     15.5	      0.1	  17901.5	     99.8	softmax	GPU-0	(1x1008)->(1x1008)
55	      6.1	1	      6.1	      0.0	  17907.6	     99.9	Mul	GPU-0	(1x299x299x3)(1)->(1x299x299x3)
56	      6.1	1	      6.1	      0.0	  17913.7	     99.9	Sub	GPU-0	(1x299x299x3)(1)->(1x299x299x3)
57	      3.0	2	      6.0	      0.0	  17919.7	     99.9	MEMCPYHtoD	GPU-0	(no input)->(output 30000 bytes)
58	      2.5	1	      2.5	      0.0	  17922.2	    100.0	BiasAdd	GPU-0	(no input)->(no output)
59	      2.4	1	      2.4	      0.0	  17924.6	    100.0	Cast	GPU-0	(uint8 100x100x3)->(100x100x3)
60	      1.0	2	      2.0	      0.0	  17926.6	    100.0	MEMCPYDtoH	GPU-0	(no input)->(output 4032 bytes)
61	      1.8	1	      1.8	      0.0	  17928.4	    100.0	contents	CPU-0	(1)->(string 1)
62	      1.2	1	      1.2	      0.0	  17929.6	    100.0	_retval_softmax	CPU-0	(1x1008)->(no output)
63	      1.2	1	      1.2	      0.0	  17930.8	    100.0	_SOURCE	GPU-0	(1)->(no output)
