Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensors
16	    106.8	      1.0	    106.8	      1.0	   9026.5	     87.6	MaxPool	GPU-0	(100x32x28x28)->(100x32x14x14)
17	     96.0	      1.0	     96.0	      0.9	   9122.5	     88.5	ReluGrad	GPU-0	(100x64x14x14)(100x64x14x14)->(100x64x14x14)
18	      3.5	     24.0	     84.1	      0.8	   9206.6	     89.3	VarHandleOp	GPU-0	(no input)->(tf_resource 1x1)
19	     82.7	      1.0	     82.7	      0.8	   9289.3	     90.1	BiasAdd	GPU-0	(100x64x14x14)(64x1)->(100x64x14x14)
20	     76.9	      1.0	     76.9	      0.7	   9366.2	     90.9	Snapshot	GPU-0	(int64 1x1)(int32 1x1)
21	     75.2	      1.0	     75.2	      0.7	   9441.4	     91.6	BiasAddGrad	GPU-0	(100x32x28x28)->(32x1)
22	     73.0	      1.0	     73.0	      0.7	   9514.4	     92.3	NoOp	GPU-0	(no input)->(no output info)
23	     67.2	      1.0	     67.2	      0.7	   9581.6	     93.0	Relu	GPU-0	(100x64x14x14)->(100x64x14x14)
24	     57.9	      1.0	     57.9	      0.6	   9639.5	     93.5	MaxPool	GPU-0	(100x64x14x14)->(100x64x7x7)
25	     44.2	      1.0	     44.2	      0.4	   9683.7	     94.0	BiasAddGrad	GPU-0	(100x64x14x14)->(64x1)
26	      4.4	      9.0	     39.6	      0.4	   9723.3	     94.4	Const	GPU-0	(no input)->(1x1)
27	     16.6	      2.0	     33.1	      0.3	   9756.4	     94.7	Assign	GPU-0	(1x1)(1x1)->(1x1)
28	     28.8	      1.0	     28.8	      0.3	   9785.2	     95.0	MEMCPYHtoD	GPU-0	(Transfer)->(313600 bytes)
29	     25.7	      1.0	     25.7	      0.2	   9810.9	     95.2	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(100x10)(100x784)(int32 100x1)
30	      3.6	      6.0	     21.5	      0.2	   9832.4	     95.4	Const	GPU-0	(no input)->(int32 1x1)
31	     18.1	      1.0	     18.1	      0.2	   9850.5	     95.6	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x32x64)->(no output info)
32	     17.3	      1.0	     17.3	      0.2	   9867.8	     95.8	StridedSlice	GPU-0	(int32 2x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)
33	     17.0	      1.0	     17.0	      0.2	   9884.8	     95.9	MatMul	GPU-0	(100x1024)(1024x10)->(100x10)
34	      8.2	      2.0	     16.3	      0.2	   9901.1	     96.1	VariableV2	GPU-0	(no input)->(1x1)
35	     16.1	      1.0	     16.1	      0.2	   9917.2	     96.2	Iterator	CPU-0	(no input)->(tf_resource 1x1)
36	     16.0	      1.0	     16.0	      0.2	   9933.2	     96.4	MatMul	GPU-0	(100x10)(1024x10)->(100x1024)
37	     12.8	      1.0	     12.8	      0.1	   9946.0	     96.5	MatMul	GPU-0	(100x1024)(100x10)->(1024x10)
38	     10.6	      1.0	     10.6	      0.1	   9956.6	     96.6	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(10x1)->(no output info)
39	     10.4	      1.0	     10.4	      0.1	   9967.0	     96.7	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x10)->(no output info)
40	     10.3	      1.0	     10.3	      0.1	   9977.3	     96.8	IsVariableInitialized	GPU-0	(int64 1x1)->(boolean 1x1)
41	      9.2	      1.0	      9.2	      0.1	   9986.5	     96.9	BiasAddGrad	GPU-0	(100x10)->(10x1)
42	      9.1	      1.0	      9.1	      0.1	   9995.6	     97.0	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x1)->(no output info)
43	      8.9	      1.0	      8.9	      0.1	  10004.5	     97.1	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x1x32)->(no output info)
44	      8.8	      1.0	      8.8	      0.1	  10013.3	     97.2	Pack	GPU-0	(int32 1x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 4x1)
45	      8.7	      1.0	      8.7	      0.1	  10022.0	     97.3	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(64x1)->(no output info)
46	      8.7	      1.0	      8.7	      0.1	  10030.7	     97.3	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(32x1)->(no output info)
47	      8.6	      1.0	      8.6	      0.1	  10039.3	     97.4	Reshape	GPU-0	(100x784)(int32 100x1)
48	      8.4	      1.0	      8.4	      0.1	  10047.7	     97.5	RandomUniform	GPU-0	(int32 2x1)->(100x1024)
49	      4.0	      2.0	      7.9	      0.1	  10055.6	     97.6	Identity	GPU-0	(1x1)->(1x1)
50	      7.8	      1.0	      7.8	      0.1	  10063.4	     97.7	Shape	CPU-0	(100x784)(int32 100x1)
51	      7.6	      1.0	      7.6	      0.1	  10071.0	     97.7	ShapeN	GPU-0	(100x32x14x14)(5x5x32x64)->(int32 4x1)(int32 4x1)
52	      3.8	      2.0	      7.5	      0.1	  10078.5	     97.8	Const	GPU-0	(no input)->(int64 1x1)
53	      3.8	      2.0	      7.5	      0.1	  10086.0	     97.9	Mul	GPU-0	(100x1024)(1x1)->(100x1024)
54	      7.5	      1.0	      7.5	      0.1	  10093.5	     97.9	ReadVariableOp	GPU-0	(tf_resource 1x1)->(5x5x1x32)
55	      3.7	      2.0	      7.4	      0.1	  10100.9	     98.0	Mul	GPU-0	(100x1024)(100x1024)->(100x1024)
56	      3.5	      2.0	      6.9	      0.1	  10107.8	     98.1	Const	GPU-0	(no input)->(int32 4x1)
57	      6.6	      1.0	      6.6	      0.1	  10114.4	     98.1	BroadcastGradientArgs	GPU-0	(int32 2x1)(int32 1x1)->(int32 1x1)(int32 2x1)
58	      6.2	      1.0	      6.2	      0.1	  10120.6	     98.2	StridedSlice	GPU-0	(int32 4x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)
59	      5.9	      1.0	      5.9	      0.1	  10126.5	     98.3	RefSwitch	GPU-0	(int64 1x1)(boolean 1x1)->(int64 1x1)
60	      5.8	      1.0	      5.8	      0.1	  10132.3	     98.3	BroadcastGradientArgs	GPU-0	(1|2|3x1)(int32 1x1)->(int32 1x1)(int32 1x1)
61	      5.5	      1.0	      5.5	      0.1	  10137.8	     98.4	Pack	GPU-0	(int32 1x1)(int32 1x1)->(int32 2x1)
62	      2.8	      2.0	      5.5	      0.1	  10143.3	     98.4	Snapshot	GPU-0	(100x1)->(100x1)
63	      2.6	      2.0	      5.3	      0.1	  10148.6	     98.5	Snapshot	GPU-0	(100x1024)->(100x1024)
64	      5.2	      1.0	      5.2	      0.1	  10153.8	     98.5	ReluGrad	GPU-0	(100x1024)(100x1024)->(100x1024)
65	      5.0	      1.0	      5.0	      0.0	  10158.8	     98.6	BiasAddGrad	GPU-0	(100x1024)->(1024x1)
66	      4.9	      1.0	      4.9	      0.0	  10163.7	     98.6	Shape	GPU-0	(100x64x7x7)->(int32 4x1)
67	      4.8	      1.0	      4.8	      0.0	  10168.5	     98.7	Shape	GPU-0	(100x1)(100x10)
68	      4.8	      1.0	      4.8	      0.0	  10173.3	     98.7	Merge	GPU-0	(int64 1x1)
69	      4.8	      1.0	      4.8	      0.0	  10178.1	     98.8	ReadVariableOp	GPU-0	(tf_resource 1x1)->(1024x1)
70	      2.2	      2.0	      4.5	      0.0	  10182.6	     98.8	Sum	GPU-0	(100x1)(1)->(1x1)
71	      4.4	      1.0	      4.4	      0.0	  10187.0	     98.9	Reshape	GPU-0	(100x3136)(int32 4x1)->(100x64x7x7)
72	      4.3	      1.0	      4.3	      0.0	  10191.3	     98.9	ReadVariableOp	GPU-0	(tf_resource 1x1)->(5x5x32x64)
73	      4.3	      1.0	      4.3	      0.0	  10195.6	     98.9	Shape	GPU-0	(100x1024)->(int32 2x1)
74	      4.2	      1.0	      4.2	      0.0	  10199.8	     99.0	NoOp	CPU-0	(no input)->(no output info)
75	      4.2	      1.0	      4.2	      0.0	  10204.0	     99.0	BiasAdd	GPU-0	(100x1024)(1024x1)->(100x1024)
76	      4.1	      1.0	      4.1	      0.0	  10208.1	     99.1	ReadVariableOp	GPU-0	(tf_resource 1x1)->(1024x10)
77	      4.0	      1.0	      4.0	      0.0	  10212.1	     99.1	Sum	GPU-0	(100x1024)(int32 1x1)(int32 2x1)
78	      4.0	      1.0	      4.0	      0.0	  10216.1	     99.1	ReadVariableOp	GPU-0	(tf_resource 1x1)->(64x1)
79	      3.9	      1.0	      3.9	      0.0	  10220.0	     99.2	ExpandDims	GPU-0	(100x1)(int32 1x1)->(100x1)
80	      3.9	      1.0	      3.9	      0.0	  10223.9	     99.2	ReadVariableOp	GPU-0	(tf_resource 1x1)->(10x1)
81	      3.8	      1.0	      3.8	      0.0	  10227.7	     99.2	Mul	GPU-0	(100x1)(100x10)->(100x10)
82	      1.9	      2.0	      3.8	      0.0	  10231.5	     99.3	RealDiv	GPU-0	(1x1)(1x1)->(1x1)
83	      1.8	      2.0	      3.6	      0.0	  10235.1	     99.3	Mul	GPU-0	(1x1)(1x1)->(1x1)
84	      3.6	      1.0	      3.6	      0.0	  10238.7	     99.4	Add	GPU-0	(1x1)(100x1024)->(100x1024)
85	      3.6	      1.0	      3.6	      0.0	  10242.3	     99.4	Reshape	GPU-0	(100x64x7x7)(int32 2x1)->(100x3136)
86	      3.3	      1.0	      3.3	      0.0	  10245.6	     99.4	ReadVariableOp	GPU-0	(tf_resource 1x1)->(3136x1024)
87	      3.2	      1.0	      3.2	      0.0	  10248.8	     99.5	Reshape	GPU-0	(100x1024)(int32 2x1)->(100x1024)
88	      3.1	      1.0	      3.1	      0.0	  10251.9	     99.5	Shape	GPU-0	(100x1)->(int32 1x1)
89	      3.1	      1.0	      3.1	      0.0	  10255.0	     99.5	Sum	GPU-0	(100x1)(int32 1x1)(int32 1x1)
90	      3.0	      1.0	      3.0	      0.0	  10258.0	     99.5	VariableV2	GPU-0	(no input)->(int64 1x1)
91	      3.0	      1.0	      3.0	      0.0	  10261.0	     99.6	Relu	GPU-0	(100x1024)->(100x1024)
92	      2.9	      1.0	      2.9	      0.0	  10263.9	     99.6	_Retval	CPU-0	(1x1)->(no output info)
93	      2.9	      1.0	      2.9	      0.0	  10266.8	     99.6	Floor	GPU-0	(100x1024)->(100x1024)
94	      2.9	      1.0	      2.9	      0.0	  10269.7	     99.7	Reshape	GPU-0	(1x1)(int32 1x1)->(1x1)
95	      2.8	      1.0	      2.8	      0.0	  10272.5	     99.7	ReadVariableOp	GPU-0	(tf_resource 1x1)->(32x1)
96	      2.5	      1.0	      2.5	      0.0	  10275.0	     99.7	Tile	GPU-0	(1x1)(int32 1x1)->(100x1)
97	      2.5	      1.0	      2.5	      0.0	  10277.5	     99.7	Reshape	GPU-0	(100x1)(1|2|3x1)->(100x1)
98	      2.5	      1.0	      2.5	      0.0	  10280.0	     99.8	Snapshot	GPU-0	(100x1)(100x10)
99	      2.4	      1.0	      2.4	      0.0	  10282.4	     99.8	Switch	GPU-0	(int64 1x1)(boolean 1x1)->(int64 1x1)
100	      2.1	      1.0	      2.1	      0.0	  10284.5	     99.8	Select	GPU-0	(boolean 1x1)(1x1)(1x1)->(1x1)
101	      2.0	      1.0	      2.0	      0.0	  10286.5	     99.8	Fill	GPU-0	(int32 1x1)(1x1)->(100x1)
102	      1.0	      2.0	      2.0	      0.0	  10288.5	     99.8	MEMCPYDtoD	GPU-0	(Transfer)->(4 bytes)
103	      1.9	      1.0	      1.9	      0.0	  10290.4	     99.9	BiasAdd	GPU-0	(100x10)(10x1)->(100x10)
104	      1.9	      1.0	      1.9	      0.0	  10292.3	     99.9	AssignAdd	GPU-0	(int64 1x1)(int64 1x1)->(int64 1x1)
105	      1.8	      1.0	      1.8	      0.0	  10294.1	     99.9	Greater	GPU-0	(1x1)(1|2|3x1)->(boolean 1x1)
106	      1.8	      1.0	      1.8	      0.0	  10295.9	     99.9	Equal	GPU-0	(1x1)(1|2|3x1)->(boolean 1x1)
107	      1.7	      1.0	      1.7	      0.0	  10297.6	     99.9	_Retval	CPU-0	(int64 1x1)->(no output info)
108	      1.7	      1.0	      1.7	      0.0	  10299.3	     99.9	MEMCPYDtoH	GPU-0	(Transfer)->(8 bytes)
109	      1.5	      1.0	      1.5	      0.0	  10300.8	    100.0	Select	GPU-0	(boolean 1x1)(1x1)(1|2|3x1)->(1x1)
110	      1.5	      1.0	      1.5	      0.0	  10302.3	    100.0	Select	GPU-0	(boolean 1x1)(1|2|3x1)(1x1)->(1x1)
111	      1.0	      1.0	      1.0	      0.0	  10303.3	    100.0	MEMCPYDtoH	GPU-0	(Transfer)->(4 bytes)
112	      1.0	      1.0	      1.0	      0.0	  10304.3	    100.0	MEMCPYDtoD	GPU-0	(Transfer)->(8 bytes)
113	      1.0	      1.0	      1.0	      0.0	  10305.3	    100.0	MEMCPYHtoD	GPU-0	(Transfer)->(400 bytes)
