Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OP estimation	GFLOP/S achieved	Op name	Device	Input/output tensors
44	    113.0	      2.0	    226.1	      0.4	  46150.5	     88.0	132579328	  586.478	Conv2D	GPU-0	(1x17x17x128)(7x1x128x128)->(1x17x17x128)
45	    223.2	      1.0	    223.2	      0.4	  46373.6	     88.4	        0	    0.000	NoOp	GPU-0	(no input)->(no output info)
46	      2.3	     91.0	    213.3	      0.4	  46586.9	     88.8	        0	    0.000	Const	GPU-0	(no input)->(192x1)
47	    205.8	      1.0	    205.8	      0.4	  46792.6	     89.2	 42467328	  206.403	Conv2D	GPU-0	(1x17x17x192)(3x3x192x192)->(1x8x8x192)
48	     16.6	     12.0	    199.1	      0.4	  46991.8	     89.6	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x64)(64x1)(64x1)(64x1)(1)->(1x35x35x64)
49	    192.9	      1.0	    192.9	      0.4	  47184.7	     90.0	        0	    0.000	CheckNumerics	GPU-0	(1x8x8x2048)->(1x8x8x2048)
50	    190.3	      1.0	    190.3	      0.4	  47375.1	     90.3	        0	    0.000	CheckNumerics	GPU-0	(1x17x17x768)->(1x17x17x768)
51	      6.8	     26.0	    176.9	      0.3	  47552.0	     90.7	        0	    0.000	Identity	GPU-0	(1x17x17x192)->(1x17x17x192)
52	    169.4	      1.0	    169.4	      0.3	  47721.4	     91.0	  2116800	   12.499	AvgPool	GPU-0	(1x35x35x192)->(1x35x35x192)
53	    157.6	      1.0	    157.6	      0.3	  47878.9	     91.3	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x147x147x64)(64x1)(64x1)(64x1)(64x1)->(1x147x147x64)
54	    151.4	      1.0	    151.4	      0.3	  48030.3	     91.6	        0	    0.000	CheckNumerics	GPU-0	(1x17x17x96)->(1x17x17x96)
55	    136.1	      1.0	    136.1	      0.3	  48166.4	     91.8	 99434496	  730.384	Conv2D	GPU-0	(1x17x17x128)(7x1x128x192)->(1x17x17x192)
56	     11.6	     11.0	    127.2	      0.2	  48293.6	     92.1	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x160)(160x1)(160x1)(160x1)(1)->(1x17x17x160)
57	    125.2	      1.0	    125.2	      0.2	  48418.8	     92.3	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x71x71x192)(192x1)(192x1)(192x1)(192x1)->(1x71x71x192)
58	    123.6	      1.0	    123.6	      0.2	  48542.4	     92.6	 99434496	  804.291	Conv2D	GPU-0	(1x17x17x128)(1x7x128x192)->(1x17x17x192)
59	    115.9	      1.0	    115.9	      0.2	  48658.3	     92.8	 38363328	  331.089	Conv2D	GPU-0	(1x299x299x3)(3x3x3x32)->(1x149x149x32)
60	    113.8	      1.0	    113.8	      0.2	  48772.2	     93.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(8 bytes)
61	     17.8	      6.0	    107.1	      0.2	  48879.2	     93.2	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x96)(96x1)(96x1)(96x1)(1)->(1x35x35x96)
62	      2.6	     40.0	    104.0	      0.2	  48983.3	     93.4	        0	    0.000	Const	GPU-0	(no input)->(384x1)
63	     25.0	      4.0	    100.1	      0.2	  49083.4	     93.6	284098560	 2838.715	Conv2D	GPU-0	(1x17x17x768)(1x1x768x160)->(1x17x17x160)
64	     23.1	      4.0	     92.3	      0.2	  49175.7	     93.8	180633600	 1956.815	Conv2D	GPU-0	(1x35x35x288)(1x1x288x64)->(1x35x35x64)
65	      7.6	     12.0	     91.6	      0.2	  49267.3	     93.9	        0	    0.000	Identity	GPU-0	(1x35x35x64)->(1x35x35x64)
66	     90.6	      1.0	     90.6	      0.2	  49357.9	     94.1	 47941632	  529.099	Conv2D	GPU-0	(1x35x35x96)(3x3x96x96)->(1x17x17x96)
67	      2.4	     37.0	     89.2	      0.2	  49447.1	     94.3	        0	    0.000	Const	GPU-0	(no input)->(160x1)
68	      2.1	     40.0	     83.2	      0.2	  49530.2	     94.4	        0	    0.000	Const	GPU-0	(no input)->(64x1)
69	      6.9	     12.0	     82.6	      0.2	  49612.9	     94.6	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x384)(384x1)(384x1)(384x1)(1)->(1x8x8x384)
70	     80.2	      1.0	     80.2	      0.2	  49693.0	     94.8	  3069504	   38.292	MaxPool	GPU-0	(1x147x147x64)->(1x73x73x64)
71	      6.6	     12.0	     79.0	      0.2	  49772.0	     94.9	        0	    0.000	Identity	GPU-0	(1x8x8x384)->(1x8x8x384)
72	      3.0	     26.0	     78.2	      0.1	  49850.2	     95.1	        0	    0.000	Relu	GPU-0	(1x17x17x192)->(1x17x17x192)
73	      6.3	     12.0	     76.0	      0.1	  49926.2	     95.2	        0	    0.000	Identity	GPU-0	(1x17x17x160)->(1x17x17x160)
74	     69.0	      1.0	     69.0	      0.1	  49995.2	     95.3	        0	    0.000	Relu	GPU-0	(1x147x147x64)->(1x147x147x64)
75	     20.8	      3.0	     62.5	      0.1	  50057.6	     95.5	120422400	 1928.301	Conv2D	GPU-0	(1x35x35x256)(1x1x256x64)->(1x35x35x64)
76	     15.1	      4.0	     60.2	      0.1	  50117.8	     95.6	        0	    0.000	Concat	GPU-0	(1)(1x17x17x192)(1x17x17x192)(1x17x17x192)(1x17x17x192)->(1x17x17x768)
77	     59.0	      1.0	     59.0	      0.1	  50176.8	     95.7	   737280	   12.494	AvgPool	GPU-0	(1x8x8x1280)->(1x8x8x1280)
78	     58.1	      1.0	     58.1	      0.1	  50235.0	     95.8	  4128768	   71.002	MatMul	GPU-0	(1x2048)(2048x1008)->(1x1008)
79	      2.3	     25.0	     57.8	      0.1	  50292.8	     95.9	        0	    0.000	Const	GPU-0	(no input)->(96x1)
80	     55.9	      1.0	     55.9	      0.1	  50348.7	     96.0	  2116800	   37.874	MaxPool	GPU-0	(1x71x71x192)->(1x35x35x192)
81	      2.9	     19.0	     55.7	      0.1	  50404.4	     96.1	        0	    0.000	Const	GPU-0	(no input)->(128x1)
82	     49.7	      1.0	     49.7	      0.1	  50454.1	     96.2	   131072	    2.637	AvgPool	GPU-0	(1x8x8x2048)->(1x1x1x2048)
83	     49.4	      1.0	     49.4	      0.1	  50503.5	     96.3	 54568960	 1105.530	Conv2D	GPU-0	(1x73x73x64)(1x1x64x80)->(1x73x73x80)
84	     48.5	      1.0	     48.5	      0.1	  50551.9	     96.4	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x149x149x32)(32x1)(32x1)(32x1)(32x1)->(1x149x149x32)
85	     48.1	      1.0	     48.1	      0.1	  50600.0	     96.5	        0	    0.000	Relu	GPU-0	(1x71x71x192)->(1x71x71x192)
86	     47.2	      1.0	     47.2	      0.1	  50647.2	     96.6	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x73x73x80)(80x1)(80x1)(80x1)(80x1)->(1x73x73x80)
87	      9.4	      5.0	     46.8	      0.1	  50694.0	     96.7	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x128)(128x1)(128x1)(128x1)(1)->(1x17x17x128)
88	      3.9	     12.0	     46.8	      0.1	  50740.8	     96.8	        0	    0.000	Relu	GPU-0	(1x35x35x64)->(1x35x35x64)
89	     46.5	      1.0	     46.5	      0.1	  50787.4	     96.8	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x147x147x32)(32x1)(32x1)(32x1)(1)->(1x147x147x32)
90	     22.8	      2.0	     45.6	      0.1	  50833.0	     96.9	        0	    0.000	Concat	GPU-0	(1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x64)->(1x35x35x288)
91	     21.7	      2.0	     43.5	      0.1	  50876.4	     97.0	113639424	 2613.602	Conv2D	GPU-0	(1x17x17x768)(1x1x768x128)->(1x17x17x128)
92	      6.1	      7.0	     42.6	      0.1	  50919.0	     97.1	        0	    0.000	Identity	GPU-0	(1x35x35x96)->(1x35x35x96)
93	      6.3	      6.0	     37.8	      0.1	  50956.9	     97.2	        0	    0.000	Identity	GPU-0	(1x17x17x128)->(1x17x17x128)
94	     37.5	      1.0	     37.5	      0.1	  50994.4	     97.2	117440512	 3132.582	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x448)->(1x8x8x448)
95	     36.4	      1.0	     36.4	      0.1	  51030.8	     97.3	100663296	 2765.475	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x384)->(1x8x8x384)
96	     35.3	      1.0	     35.3	      0.1	  51066.1	     97.4	 83886080	 2375.031	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x320)->(1x8x8x320)
97	     33.5	      1.0	     33.5	      0.1	  51099.6	     97.4	        0	    0.000	Relu	GPU-0	(1x149x149x32)->(1x149x149x32)
98	     16.7	      2.0	     33.4	      0.1	  51133.0	     97.5	 60211200	 1802.731	Conv2D	GPU-0	(1x35x35x192)(1x1x192x64)->(1x35x35x64)
99	      2.7	     12.0	     32.9	      0.1	  51165.9	     97.6	        0	    0.000	Const	GPU-0	(no input)->(1x1x768x192)
100	      2.7	     12.0	     32.2	      0.1	  51198.1	     97.6	        0	    0.000	Relu	GPU-0	(1x17x17x160)->(1x17x17x160)
101	     31.9	      1.0	     31.9	      0.1	  51230.0	     97.7	        0	    0.000	Relu	GPU-0	(1x147x147x32)->(1x147x147x32)
102	     30.9	      1.0	     30.9	      0.1	  51260.9	     97.7	 50331648	 1630.439	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x192)->(1x8x8x192)
103	     28.3	      1.0	     28.3	      0.1	  51289.1	     97.8	        0	    0.000	ResizeBilinear	GPU-0	(1x100x100x3)(int32 2x1)->(1x299x299x3)
104	     27.5	      1.0	     27.5	      0.1	  51316.6	     97.9	  1179648	   42.928	MaxPool	GPU-0	(1x8x8x2048)->(1x8x8x2048)
105	      2.2	     12.0	     26.7	      0.1	  51343.3	     97.9	        0	    0.000	Relu	GPU-0	(1x8x8x384)->(1x8x8x384)
106	     12.7	      2.0	     25.4	      0.0	  51368.7	     98.0	        0	    0.000	Concat	GPU-0	(1)(1x8x8x320)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x192)->(1x8x8x2048)
107	     25.2	      1.0	     25.2	      0.0	  51393.9	     98.0	 73400320	 2911.556	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x448)->(1x8x8x448)
108	     24.8	      1.0	     24.8	      0.0	  51418.8	     98.0	 52428800	 2110.660	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x320)->(1x8x8x320)
109	     24.4	      1.0	     24.4	      0.0	  51443.1	     98.1	 62914560	 2582.700	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x384)->(1x8x8x384)
110	     23.5	      1.0	     23.5	      0.0	  51466.6	     98.1	   749088	   31.876	MaxPool	GPU-0	(1x35x35x288)->(1x17x17x288)
111	      7.8	      3.0	     23.4	      0.0	  51490.0	     98.2	        0	    0.000	Identity	GPU-0	(1x8x8x320)->(1x8x8x320)
112	     22.5	      1.0	     22.5	      0.0	  51512.5	     98.2	 31457280	 1399.968	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x192)->(1x8x8x192)
113	     10.8	      2.0	     21.5	      0.0	  51534.0	     98.3	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x48)(48x1)(48x1)(48x1)(1)->(1x35x35x48)
114	      2.1	     10.0	     21.4	      0.0	  51555.4	     98.3	        0	    0.000	Const	GPU-0	(no input)->(32x1)
115	      7.1	      3.0	     21.4	      0.0	  51576.9	     98.3	        0	    0.000	Identity	GPU-0	(1x35x35x48)->(1x35x35x48)
116	      2.1	     10.0	     21.2	      0.0	  51598.1	     98.4	        0	    0.000	Const	GPU-0	(no input)->(320x1)
117	      2.1	     10.0	     20.8	      0.0	  51619.0	     98.4	        0	    0.000	Const	GPU-0	(no input)->(48x1)
118	      6.9	      3.0	     20.7	      0.0	  51639.7	     98.5	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x192)(192x1)(192x1)(192x1)(1)->(1x8x8x192)
119	      6.9	      3.0	     20.7	      0.0	  51660.4	     98.5	        0	    0.000	Identity	GPU-0	(1x8x8x192)->(1x8x8x192)
120	     20.7	      1.0	     20.7	      0.0	  51681.1	     98.5	        0	    0.000	Concat	GPU-0	(int32 1x1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x32)->(1x35x35x256)
121	     20.0	      1.0	     20.0	      0.0	  51701.0	     98.6	 33868800	 1694.287	Conv2D	GPU-0	(1x35x35x288)(1x1x288x48)->(1x35x35x48)
122	      2.7	      7.0	     19.0	      0.0	  51720.0	     98.6	        0	    0.000	Relu	GPU-0	(1x35x35x96)->(1x35x35x96)
123	     18.0	      1.0	     18.0	      0.0	  51738.0	     98.7	 30105600	 1670.677	Conv2D	GPU-0	(1x35x35x256)(1x1x256x48)->(1x35x35x48)
124	      8.8	      2.0	     17.7	      0.0	  51755.7	     98.7	        0	    0.000	Identity	GPU-0	(1x147x147x64)->(1x147x147x64)
125	     17.7	      1.0	     17.7	      0.0	  51773.4	     98.7	 15052800	  851.403	Conv2D	GPU-0	(1x35x35x192)(1x1x192x32)->(1x35x35x32)
126	     17.7	      1.0	     17.7	      0.0	  51791.1	     98.8	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x96)(96x1)(96x1)(96x1)(96x1)->(1x35x35x96)
127	      8.7	      2.0	     17.5	      0.0	  51808.5	     98.8	        0	    0.000	Identity	GPU-0	(1x71x71x192)->(1x71x71x192)
128	     17.3	      1.0	     17.3	      0.0	  51825.8	     98.8	        0	    0.000	Relu	GPU-0	(1x73x73x80)->(1x73x73x80)
129	     15.5	      1.0	     15.5	      0.0	  51841.3	     98.9	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x384)(384x1)(384x1)(384x1)(384x1)->(1x17x17x384)
130	      7.7	      2.0	     15.4	      0.0	  51856.7	     98.9	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x320)(320x1)(320x1)(320x1)(1)->(1x8x8x320)
131	     15.4	      1.0	     15.4	      0.0	  51872.0	     98.9	   442368	   28.800	MaxPool	GPU-0	(1x17x17x768)->(1x8x8x768)
132	      2.2	      7.0	     15.1	      0.0	  51887.2	     98.9	        0	    0.000	Const	GPU-0	(no input)->(448x1)
133	      2.4	      6.0	     14.3	      0.0	  51901.4	     99.0	        0	    0.000	Relu	GPU-0	(1x17x17x128)->(1x17x17x128)
134	      7.0	      2.0	     14.1	      0.0	  51915.5	     99.0	        0	    0.000	Identity	GPU-0	(1x8x8x448)->(1x8x8x448)
135	     14.0	      1.0	     14.0	      0.0	  51929.5	     99.0	        0	    0.000	_Arg	CPU-0	(no input)->(string 1x1)
136	     14.0	      1.0	     14.0	      0.0	  51943.6	     99.0	     5040	    0.360	Softmax	GPU-0	(1x1008)->(1x1008)
137	     13.9	      1.0	     13.9	      0.0	  51957.5	     99.1	        0	    0.000	Concat	GPU-0	(1)(1x17x17x384)(1x17x17x96)(1x17x17x288)->(1x17x17x768)
138	     12.9	      1.0	     12.9	      0.0	  51970.4	     99.1	 22579200	 1746.265	Conv2D	GPU-0	(1x35x35x192)(1x1x192x48)->(1x35x35x48)
139	     11.8	      1.0	     11.8	      0.0	  51982.3	     99.1	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x160)(160x1)(160x1)(160x1)(160x1)->(1x17x17x160)
140	      3.9	      3.0	     11.7	      0.0	  51994.0	     99.1	        0	    0.000	Relu	GPU-0	(1x35x35x48)->(1x35x35x48)
141	      2.9	      4.0	     11.7	      0.0	  52005.6	     99.2	        0	    0.000	Const	GPU-0	(no input)->(1x7x160x160)
142	      2.9	      4.0	     11.4	      0.0	  52017.1	     99.2	        0	    0.000	Const	GPU-0	(no input)->(3x1x384x384)
143	      2.8	      4.0	     11.4	      0.0	  52028.4	     99.2	        0	    0.000	Const	GPU-0	(no input)->(1x1x768x160)
144	      2.8	      4.0	     11.2	      0.0	  52039.6	     99.2	        0	    0.000	Const	GPU-0	(no input)->(7x1x160x160)
145	     10.9	      1.0	     10.9	      0.0	  52050.6	     99.3	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x48)(48x1)(48x1)(48x1)(48x1)->(1x35x35x48)
146	      2.6	      4.0	     10.6	      0.0	  52061.1	     99.3	        0	    0.000	Const	GPU-0	(no input)->(3x3x96x96)
147	      2.5	      4.0	     10.0	      0.0	  52071.2	     99.3	        0	    0.000	Const	GPU-0	(no input)->(1x1x288x64)
148	      9.9	      1.0	      9.9	      0.0	  52081.1	     99.3	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x128)(128x1)(128x1)(128x1)(128x1)->(1x17x17x128)
149	      2.4	      4.0	      9.6	      0.0	  52090.7	     99.3	        0	    0.000	Const	GPU-0	(no input)->(1x7x192x192)
150	      2.4	      4.0	      9.6	      0.0	  52100.2	     99.3	        0	    0.000	Const	GPU-0	(no input)->(3x3x64x96)
151	      2.4	      4.0	      9.6	      0.0	  52109.8	     99.4	        0	    0.000	Const	GPU-0	(no input)->(7x1x192x192)
152	      2.4	      4.0	      9.4	      0.0	  52119.2	     99.4	        0	    0.000	Const	GPU-0	(no input)->(1x3x384x384)
153	      9.4	      1.0	      9.4	      0.0	  52128.6	     99.4	        0	    0.000	Identity	GPU-0	(1x147x147x32)->(1x147x147x32)
154	      9.1	      1.0	      9.1	      0.0	  52137.7	     99.4	        0	    0.000	Identity	GPU-0	(1x149x149x32)->(1x149x149x32)
155	      8.9	      1.0	      8.9	      0.0	  52146.6	     99.4	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x32)(32x1)(32x1)(32x1)(1)->(1x35x35x32)
156	      2.2	      4.0	      8.7	      0.0	  52155.3	     99.5	        0	    0.000	Const	GPU-0	(no input)->(80x1)
157	      8.6	      1.0	      8.6	      0.0	  52164.0	     99.5	        0	    0.000	Identity	GPU-0	(1x73x73x80)->(1x73x73x80)
158	      8.4	      1.0	      8.4	      0.0	  52172.3	     99.5	        0	    0.000	Identity	GPU-0	(1x35x35x32)->(1x35x35x32)
159	      8.1	      1.0	      8.1	      0.0	  52180.5	     99.5	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x96)(96x1)(96x1)(96x1)(1)->(1x17x17x96)
160	      8.1	      1.0	      8.1	      0.0	  52188.6	     99.5	        0	    0.000	Identity	GPU-0	(1x17x17x768)->(1x17x17x768)
161	      7.7	      1.0	      7.7	      0.0	  52196.3	     99.5	        0	    0.000	Concat	GPU-0	(1)(1x8x8x320)(1x8x8x192)(1x8x8x768)->(1x8x8x1280)
162	      7.7	      1.0	      7.7	      0.0	  52203.9	     99.5	        0	    0.000	Identity	GPU-0	(1x8x8x2048)->(1x8x8x2048)
163	      7.5	      1.0	      7.5	      0.0	  52211.4	     99.6	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x320)(320x1)(320x1)(320x1)(320x1)->(1x8x8x320)
164	      2.4	      3.0	      7.3	      0.0	  52218.7	     99.6	        0	    0.000	Relu	GPU-0	(1x8x8x320)->(1x8x8x320)
165	      7.1	      1.0	      7.1	      0.0	  52225.8	     99.6	        0	    0.000	Identity	GPU-0	(1x35x35x288)->(1x35x35x288)
166	      3.5	      2.0	      7.0	      0.0	  52232.9	     99.6	        0	    0.000	Const	GPU-0	(no input)->(1x1x768x128)
167	      2.3	      3.0	      7.0	      0.0	  52239.8	     99.6	        0	    0.000	Const	GPU-0	(no input)->(5x5x48x64)
168	      2.3	      3.0	      6.9	      0.0	  52246.7	     99.6	        0	    0.000	Const	GPU-0	(no input)->(1x1x256x64)
169	      6.7	      1.0	      6.7	      0.0	  52253.5	     99.6	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x448)(448x1)(448x1)(448x1)(448x1)->(1x8x8x448)
170	      6.5	      1.0	      6.5	      0.0	  52260.0	     99.7	        0	    0.000	Identity	GPU-0	(1x17x17x96)->(1x17x17x96)
171	      2.2	      3.0	      6.5	      0.0	  52266.5	     99.7	        0	    0.000	Relu	GPU-0	(1x8x8x192)->(1x8x8x192)
172	      6.5	      1.0	      6.5	      0.0	  52273.0	     99.7	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x448)(448x1)(448x1)(448x1)(1)->(1x8x8x448)
