Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
28	   831.07	     7.00	  5817.50	     0.83	233683.99	    33.18	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x128x28x28)(64x128x28x28)(128x1)(128x1)(128x1)->(64x128x28x28)(128x1)(128x1)(1x1)(1x1)
29	  5813.64	     1.00	  5813.64	     0.83	239497.63	    34.00	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x512x512)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(64x512x16x16)
30	  5781.77	     1.00	  5781.77	     0.82	245279.40	    34.82	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x128x128)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x128x58x58)
31	   401.43	    14.00	  5620.04	     0.80	250899.44	    35.62	   896.00	     0.00	Sub	GPU-0	(64x1)(64x1)->(64x1)
32	  1858.68	     3.00	  5576.04	     0.79	256475.48	    36.41	44392513536.00	  7961.30	Conv2D	GPU-0	(64x128x28x28)(3x3x128x128)->(64x128x28x28)
33	   924.79	     6.00	  5548.75	     0.79	262024.23	    37.20	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x1024x14x14)(64x1024x14x14)(1024x1)(1024x1)(1024x1)->(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)
34	  1103.55	     5.00	  5517.75	     0.78	267541.98	    37.98	32883343360.00	  5959.56	Conv2D	GPU-0	(64x1024x14x14)(1x1x1024x256)->(64x256x14x14)
35	  1377.51	     4.00	  5510.04	     0.78	273052.02	    38.76	     0.00	     0.00	ReluGrad	GPU-0	(64x512x28x28)(64x512x28x28)->(64x512x28x28)
36	  1834.03	     3.00	  5502.08	     0.78	278554.10	    39.55	     0.00	     0.00	Relu	GPU-0	(64x256x56x56)(256x1)(256x1)(256x1)(256x1)->(64x256x56x56)
37	  1792.53	     3.00	  5377.59	     0.76	283931.69	    40.31	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x28x28)(int32 4x1)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(3x3x128x128)
38	  1785.85	     3.00	  5357.54	     0.76	289289.23	    41.07	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x64x64)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(64x64x56x56)
39	  5343.62	     1.00	  5343.62	     0.76	294632.85	    41.83	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x3x230x230)(int32 4x1)(64x64x112x112)->(7x7x3x64)
40	   263.40	    20.00	  5267.96	     0.75	299900.81	    42.58	 10240.00	     0.00	Mul	GPU-0	(512x1)(1x1)->(512x1)
41	  1295.44	     4.00	  5181.78	     0.74	305082.59	    43.31	102760448.00	    19.83	Add	GPU-0	(64x512x28x28)(64x512x28x28)->(64x512x28x28)
42	  4917.73	     1.00	  4917.73	     0.70	310000.32	    44.01	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x28x28)(int32 4x1)(64x1024x14x14)->(1x1x512x1024)
43	  1606.22	     3.00	  4818.67	     0.68	314818.99	    44.69	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x128x128)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x128x28x28)
44	  4817.65	     1.00	  4817.65	     0.68	319636.64	    45.38	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x1024x2048)(64x2048x7x7)->(64x1024x14x14)
45	   434.97	    11.00	  4784.70	     0.68	324421.34	    46.06	     0.00	     0.00	ReluGrad	GPU-0	(64x256x14x14)(64x256x14x14)->(64x256x14x14)
46	   159.08	    30.00	  4772.51	     0.68	329193.85	    46.73	  7680.00	     0.00	Mul	GPU-0	(256x1)(1x1)->(256x1)
47	  2331.10	     2.00	  4662.20	     0.66	333856.05	    47.40	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x7x7)(int32 4x1)(64x2048x7x7)->(1x1x512x2048)
48	  2330.88	     2.00	  4661.76	     0.66	338517.81	    48.06	13153337344.00	  2821.54	Conv2D	GPU-0	(64x256x56x56)(1x1x256x64)->(64x64x56x56)
49	  4655.68	     1.00	  4655.68	     0.66	343173.49	    48.72	15105785856.00	  3244.59	Conv2D	GPU-0	(64x3x230x230)(7x7x3x64)->(64x64x112x112)
50	   332.31	    14.00	  4652.34	     0.66	347825.83	    49.38	   896.00	     0.00	AssignSub	GPU-0	(64x1)(64x1)->(64x1)
51	  4650.50	     1.00	  4650.50	     0.66	352476.33	    50.04	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x512)(64x512x28x28)->(64x256x56x56)
52	  1146.70	     4.00	  4586.79	     0.65	357063.12	    50.69	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(64x512x28x28)(512x1)(512x1)(512x1)(512x1)
53	  1523.31	     3.00	  4569.93	     0.65	361633.05	    51.34	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x128)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x512x28x28)
54	   326.18	    14.00	  4566.45	     0.65	366199.50	    51.99	   896.00	     0.00	Mul	GPU-0	(64x1)(1x1)->(64x1)
55	  2265.10	     2.00	  4530.20	     0.64	370729.70	    52.63	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x2048x7x7)(int32 4x1)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(1x1x2048x512)
56	   644.32	     7.00	  4510.25	     0.64	375239.95	    53.27	     0.00	     0.00	Relu	GPU-0	(64x64x56x56)(64x1)(64x1)(64x1)(64x1)->(64x64x56x56)
57	  1485.68	     3.00	  4457.04	     0.63	379696.99	    53.90	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x64x256)(64x256x56x56)->(64x64x56x56)
58	  4348.84	     1.00	  4348.84	     0.62	384045.83	    54.52	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x1024)(64x1024x14x14)->(64x512x28x28)
59	   620.10	     7.00	  4340.70	     0.62	388386.53	    55.14	     0.00	     0.00	ReluGrad	GPU-0	(64x64x56x56)(64x64x56x56)->(64x64x56x56)
60	   270.50	    16.00	  4328.07	     0.61	392714.60	    55.75	  2048.00	     0.00	Mul	GPU-0	(128x1)(1x1)->(128x1)
61	  4289.91	     1.00	  4289.91	     0.61	397004.51	    56.36	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x16x16)(int32 4x1)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(3x3x512x512)
62	  1426.71	     3.00	  4280.12	     0.61	401284.63	    56.97	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x128x512)(64x512x28x28)->(64x128x28x28)
63	   703.83	     6.00	  4222.97	     0.60	405507.60	    57.57	     0.00	     0.00	ReluGrad	GPU-0	(64x1024x14x14)(64x1024x14x14)->(64x1024x14x14)
64	  4128.49	     1.00	  4128.49	     0.59	409636.09	    58.16	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x56x56)(int32 4x1)(64x128x56x56)(128x1)(128x1)(1x1)(1x1)->(1x1x256x128)
65	  4104.99	     1.00	  4104.99	     0.58	413741.08	    58.74	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x28x28)(int32 4x1)(64x256x28x28)(256x1)(256x1)(1x1)(1x1)->(1x1x512x256)
66	  2040.38	     2.00	  4080.77	     0.58	417821.85	    59.32	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x512x512)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(64x512x7x7)
67	  4046.58	     1.00	  4046.58	     0.57	421868.43	    59.89	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x1024x14x14)(int32 4x1)(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(1x1x1024x512)
68	  2019.06	     2.00	  4038.11	     0.57	425906.54	    60.46	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x64)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(64x256x56x56)
69	  1342.79	     3.00	  4028.38	     0.57	429934.92	    61.04	19730006016.00	  4897.75	Conv2D	GPU-0	(64x512x7x7)(1x1x512x2048)->(64x2048x7x7)
70	   573.09	     7.00	  4011.60	     0.57	433946.52	    61.61	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x128x28x28)(128x1)(128x1)(128x1)(128x1)
71	   250.28	    16.00	  4004.44	     0.57	437950.96	    62.17	  2048.00	     0.00	Sub	GPU-0	(128x1)(128x1)->(128x1)
72	  3993.08	     1.00	  3993.08	     0.57	441944.04	    62.74	14797504512.00	  3705.79	Conv2D	GPU-0	(64x128x58x58)(3x3x128x128)->(64x128x28x28)
73	  1953.31	     2.00	  3906.61	     0.55	445850.65	    63.30	29595009024.00	  7575.62	Conv2D	GPU-0	(64x512x7x7)(3x3x512x512)->(64x512x7x7)
74	  1279.83	     3.00	  3839.49	     0.55	449690.14	    63.84	19730006016.00	  5138.70	Conv2D	GPU-0	(64x512x28x28)(1x1x512x128)->(64x128x28x28)
75	   632.20	     6.00	  3793.18	     0.54	453483.32	    64.38	10616826.00	     2.80	L2Loss	GPU-0	(3x3x256x256)->(1x1)
76	  3764.80	     1.00	  3764.80	     0.53	457248.12	    64.91	13153337344.00	  3493.77	Conv2D	GPU-0	(64x256x56x56)(1x1x256x512)->(64x512x28x28)
77	   747.54	     5.00	  3737.69	     0.53	460985.81	    65.45	3932155.00	     1.05	L2Loss	GPU-0	(1x1x1024x256)->(1x1)
78	  3678.55	     1.00	  3678.55	     0.52	464664.36	    65.97	13153337344.00	  3575.69	Conv2D	GPU-0	(64x256x56x56)(1x1x256x128)->(64x128x56x56)
79	   589.10	     6.00	  3534.58	     0.50	468198.94	    66.47	4718586.00	     1.33	L2Loss	GPU-0	(1x1x256x1024)->(1x1)
80	   588.39	     6.00	  3530.33	     0.50	471729.27	    66.97	1572864.00	     0.45	Mul	GPU-0	(1x1x256x1024)(1x1)->(1x1x256x1024)
81	  3526.61	     1.00	  3526.61	     0.50	475255.88	    67.47	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x56x56)(int32 4x1)(64x512x28x28)->(1x1x256x512)
82	   585.68	     6.00	  3514.05	     0.50	478769.93	    67.97	77070336.00	    21.93	Add	GPU-0	(64x1024x14x14)(64x1024x14x14)->(64x1024x14x14)
83	  1730.09	     2.00	  3460.17	     0.49	482230.10	    68.46	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x2048x512)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(64x2048x7x7)
84	  1137.02	     3.00	  3411.06	     0.48	485641.16	    68.95	21233661.00	     6.22	L2Loss	GPU-0	(3x3x512x512)->(1x1)
85	   825.54	     4.00	  3302.15	     0.47	488943.31	    69.41	     0.00	     0.00	Relu	GPU-0	(64x512x28x28)(512x1)(512x1)(512x1)(512x1)->(64x512x28x28)
86	  3230.25	     1.00	  3230.25	     0.46	492173.56	    69.87	     0.00	     0.00	MaxPoolGrad	GPU-0	(64x64x112x112)(64x64x56x56)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(64x64x112x112)
87	  1603.14	     2.00	  3206.28	     0.46	495379.84	    70.33	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x2048)(64x2048x7x7)->(64x512x7x7)
88	  3137.16	     1.00	  3137.16	     0.45	498517.00	    70.77	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x64x56x56)(int32 4x1)(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(1x1x64x256)
89	  3126.58	     1.00	  3126.58	     0.44	501643.58	    71.22	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(38535168 bytes)
90	  1526.45	     2.00	  3052.90	     0.43	504696.48	    71.65	13153337344.00	  4308.47	Conv2D	GPU-0	(64x2048x7x7)(1x1x2048x512)->(64x512x7x7)
91	   434.43	     7.00	  3041.01	     0.43	507737.49	    72.08	     0.00	     0.00	ReluGrad	GPU-0	(64x128x28x28)(64x128x28x28)->(64x128x28x28)
92	   605.60	     5.00	  3028.01	     0.43	510765.50	    72.51	1310720.00	     0.43	Mul	GPU-0	(1x1x1024x256)(1x1)->(1x1x1024x256)
93	   100.93	    30.00	  3027.99	     0.43	513793.49	    72.94	  7680.00	     0.00	Sub	GPU-0	(256x1)(256x1)->(256x1)
94	  2965.01	     1.00	  2965.01	     0.42	516758.50	    73.36	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x1024x512)(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(64x1024x14x14)
95	  2950.06	     1.00	  2950.06	     0.42	519708.56	    73.78	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x30x30)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(3x3x256x256)
96	  2923.50	     1.00	  2923.50	     0.42	522632.06	    74.20	13153337344.00	  4499.17	Conv2D	GPU-0	(64x1024x14x14)(1x1x1024x2048)->(64x2048x7x7)
97	   486.16	     6.00	  2916.97	     0.41	525549.03	    74.61	3538944.00	     1.21	Mul	GPU-0	(3x3x256x256)(1x1)->(3x3x256x256)
98	   484.84	     6.00	  2909.06	     0.41	528458.09	    75.02	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(64x1024x14x14)(1024x1)(1024x1)(1024x1)(1024x1)
99	   702.43	     4.00	  2809.71	     0.40	531267.80	    75.42	51380224.00	    18.29	AddN	GPU-0	(64x1024x14x14)(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(64x1024x14x14)
100	  2766.34	     1.00	  2766.34	     0.39	534034.14	    75.82	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x128)(64x128x56x56)(128x1)(128x1)(1x1)(1x1)->(64x256x56x56)
101	  2740.06	     1.00	  2740.06	     0.39	536774.20	    76.20	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x128x56x56)(64x128x56x56)(128x1)(128x1)(128x1)->(64x128x56x56)(128x1)(128x1)(1x1)(1x1)
102	  2730.54	     1.00	  2730.54	     0.39	539504.74	    76.59	13153337344.00	  4817.12	Conv2D	GPU-0	(64x1024x14x14)(1x1x1024x512)->(64x512x14x14)
103	   676.54	     4.00	  2706.15	     0.38	542210.89	    76.98	196604.00	     0.07	L2Loss	GPU-0	(1x1x64x256)->(1x1)
104	   168.09	    16.00	  2689.36	     0.38	544900.25	    77.36	  2048.00	     0.00	AssignSub	GPU-0	(128x1)(128x1)->(128x1)
105	    87.74	    30.00	  2632.34	     0.37	547532.59	    77.73	  7680.00	     0.00	AssignSub	GPU-0	(256x1)(256x1)->(256x1)
106	  2578.78	     1.00	  2578.78	     0.37	550111.37	    78.10	14797504512.00	  5738.18	Conv2D	GPU-0	(64x512x16x16)(3x3x512x512)->(64x512x7x7)
107	  2529.77	     1.00	  2529.77	     0.36	552641.14	    78.46	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x58x58)(int32 4x1)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(3x3x128x128)
108	  2518.58	     1.00	  2518.58	     0.36	555159.72	    78.81	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x256)(64x256x28x28)(256x1)(256x1)(1x1)(1x1)->(64x512x28x28)
109	   503.16	     5.00	  2515.80	     0.36	557675.52	    79.17	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x512x7x7)(64x512x7x7)(512x1)(512x1)(512x1)->(64x512x7x7)(512x1)(512x1)(1x1)(1x1)
110	  2501.00	     1.00	  2501.00	     0.36	560176.52	    79.53	    54.00	     0.00	AddN	GPU-0	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(1x1)
111	  1245.28	     2.00	  2490.56	     0.35	562667.08	    79.88	51380224.00	    20.63	AddN	GPU-0	(64x512x28x28)(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(64x512x28x28)
112	   405.25	     6.00	  2431.48	     0.35	565098.56	    80.23	     0.00	     0.00	Relu	GPU-0	(64x1024x14x14)(1024x1)(1024x1)(1024x1)(1024x1)->(64x1024x14x14)
113	  2415.00	     1.00	  2415.00	     0.34	567513.56	    80.57	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x28x28)(int32 4x1)(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(1x1x128x512)
114	  2390.67	     1.00	  2390.67	     0.34	569904.23	    80.91	13153337344.00	  5501.95	Conv2D	GPU-0	(64x512x28x28)(1x1x512x1024)->(64x1024x14x14)
115	  2366.85	     1.00	  2366.85	     0.34	572271.08	    81.24	14797504512.00	  6251.98	Conv2D	GPU-0	(64x256x30x30)(3x3x256x256)->(64x256x14x14)
116	  2299.78	     1.00	  2299.78	     0.33	574570.86	    81.57	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x7x7)(int32 4x1)(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)->(1x1x512x2048)
117	  2249.78	     1.00	  2249.78	     0.32	576820.64	    81.89	51380224.00	    22.84	AddN	GPU-0	(64x256x56x56)(64x256x56x56)->(64x256x56x56)
118	  2219.99	     1.00	  2219.99	     0.32	579040.63	    82.21	51380224.00	    23.14	AddN	GPU-0	(64x256x56x56)(256x1)(256x1)(1x1)(1x1)(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x256x56x56)
119	  2201.74	     1.00	  2201.74	     0.31	581242.37	    82.52	51380224.00	    23.34	AddN	GPU-0	(64x256x56x56)(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x256x56x56)
120	   549.76	     4.00	  2199.05	     0.31	583441.42	    82.83	 65536.00	     0.03	Mul	GPU-0	(1x1x64x256)(1x1)->(1x1x64x256)
121	   536.37	     4.00	  2145.46	     0.30	585586.88	    83.13	1769468.00	     0.82	L2Loss	GPU-0	(3x3x128x128)->(1x1)
122	   526.64	     4.00	  2106.55	     0.30	587693.43	    83.43	262144.00	     0.12	Mul	GPU-0	(1x1x128x512)(1x1)->(1x1x128x512)
123	   700.87	     3.00	  2102.62	     0.30	589796.05	    83.73	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x2048x7x7)(64x2048x7x7)(2048x1)(2048x1)(2048x1)->(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)
124	  2078.45	     1.00	  2078.45	     0.30	591874.50	    84.03	13153337344.00	  6328.44	Conv2D	GPU-0	(64x512x28x28)(1x1x512x256)->(64x256x28x28)
125	   673.75	     3.00	  2021.25	     0.29	593895.75	    84.31	3145728.00	     1.56	Mul	GPU-0	(1x1x512x2048)(1x1)->(1x1x512x2048)
126	   499.59	     4.00	  1998.36	     0.28	595894.11	    84.60	786428.00	     0.39	L2Loss	GPU-0	(1x1x128x512)->(1x1)
127	  1939.65	     1.00	  1939.65	     0.28	597833.76	    84.87	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x1024)(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(64x256x14x14)
128	  1905.44	     1.00	  1905.44	     0.27	599739.20	    85.14	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x14x14)(int32 4x1)(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(1x1x256x1024)
129	   363.75	     5.00	  1818.76	     0.26	601557.96	    85.40	1310720.00	     0.72	AddN	GPU-0	(1x1x1024x256)(1x1x1024x256)->(1x1x1024x256)
130	   605.75	     3.00	  1817.26	     0.26	603375.22	    85.66	331773.00	     0.18	L2Loss	GPU-0	(3x3x64x64)->(1x1)
131	   907.98	     2.00	  1815.95	     0.26	605191.17	    85.92	6291454.00	     3.46	L2Loss	GPU-0	(1x1x2048x512)->(1x1)
132	  1814.09	     1.00	  1814.09	     0.26	607005.26	    86.18	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x2048)(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)->(64x512x7x7)
133	    90.56	    20.00	  1811.19	     0.26	608816.45	    86.43	 10240.00	     0.01	Sub	GPU-0	(512x1)(512x1)->(512x1)
134	    88.35	    20.00	  1767.10	     0.25	610583.55	    86.68	 10240.00	     0.01	AssignSub	GPU-0	(512x1)(512x1)->(512x1)
135	   285.56	     6.00	  1713.37	     0.24	612296.92	    86.93	3538944.00	     2.07	AddN	GPU-0	(3x3x256x256)(3x3x256x256)->(3x3x256x256)
