Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OP estimation	GFLOP/S achieved	Op name	Device	Input/output tensors
33	     17.1	      1.0	     17.1	      0.1	  11572.3	     95.5	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x32x64)->(no output info)
34	     17.1	      1.0	     17.1	      0.1	  11589.4	     95.7	        0	    0.000	Shape	CPU-0	(100x784)(int32 100x1)->(int32 2x1)
35	     16.1	      1.0	     16.1	      0.1	  11605.5	     95.8	        0	    0.000	MatMul	GPU-0	(100x1024)(1024x10)->(100x10)
36	      8.0	      2.0	     16.1	      0.1	  11621.6	     95.9	        0	    0.000	VariableV2	GPU-0	(no input)->(1x1)
37	     15.0	      1.0	     15.0	      0.1	  11636.6	     96.0	        0	    0.000	Pack	GPU-0	(int32 1x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 4x1)
38	     14.6	      1.0	     14.6	      0.1	  11651.1	     96.2	        0	    0.000	Mul	GPU-0	(100x1)(100x10)->(100x10)
39	     14.5	      1.0	     14.5	      0.1	  11665.7	     96.3	        0	    0.000	Reshape	GPU-0	(100x784)(int32 100x1)(int32 4x1)->(100x1x28x28)
40	     14.3	      1.0	     14.3	      0.1	  11679.9	     96.4	        0	    0.000	MatMul	GPU-0	(100x10)(1024x10)->(100x1024)
41	     13.3	      1.0	     13.3	      0.1	  11693.3	     96.5	        0	    0.000	ShapeN	GPU-0	(100x32x14x14)(5x5x32x64)->(int32 4x1)(int32 4x1)
42	      5.8	      2.0	     11.6	      0.1	  11704.8	     96.6	        0	    0.000	Const	GPU-0	(no input)->(int32 4x1)
43	     11.4	      1.0	     11.4	      0.1	  11716.2	     96.7	        0	    0.000	BroadcastGradientArgs	GPU-0	(int32 2x1)(int32 1x1)->(int32 1x1)(int32 2x1)
44	      5.7	      2.0	     11.4	      0.1	  11727.6	     96.8	        0	    0.000	Const	GPU-0	(no input)->(int64 1x1)
45	     10.8	      1.0	     10.8	      0.1	  11738.4	     96.9	        0	    0.000	MatMul	GPU-0	(100x1024)(100x10)->(1024x10)
46	     10.6	      1.0	     10.6	      0.1	  11749.1	     97.0	        0	    0.000	StridedSlice	GPU-0	(int32 4x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)
47	     10.6	      1.0	     10.6	      0.1	  11759.6	     97.1	        0	    0.000	IsVariableInitialized	GPU-0	(int64 1x1)->(boolean 1x1)
48	     10.4	      1.0	     10.3	      0.1	  11770.0	     97.1	        0	    0.000	BroadcastGradientArgs	GPU-0	(1|2|3x1)(int32 1x1)->(int32 1x1)(int32 1x1)
49	      5.2	      2.0	     10.3	      0.1	  11780.3	     97.2	        0	    0.000	Snapshot	GPU-0	(100x1)->(100x1)
50	      9.5	      1.0	      9.5	      0.1	  11789.8	     97.3	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(10x1)->(no output info)
51	      9.5	      1.0	      9.5	      0.1	  11799.3	     97.4	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x10)->(no output info)
52	      9.4	      1.0	      9.4	      0.1	  11808.7	     97.5	        0	    0.000	Pack	GPU-0	(int32 1x1)(int32 1x1)->(int32 2x1)
53	      9.3	      1.0	      9.3	      0.1	  11818.1	     97.5	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(5x5x1x32)
54	      4.5	      2.0	      9.0	      0.1	  11827.1	     97.6	        0	    0.000	Snapshot	GPU-0	(100x1024)->(100x1024)
55	      8.8	      1.0	      8.8	      0.1	  11835.8	     97.7	        0	    0.000	Merge	GPU-0	(int64 1x1)(int64 1x1)->(int64 1x1)(int32 1x1)
56	      8.5	      1.0	      8.5	      0.1	  11844.4	     97.8	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x1x32)->(no output info)
57	      4.2	      2.0	      8.4	      0.1	  11852.8	     97.8	        0	    0.000	Identity	GPU-0	(1x1)->(1x1)
58	      8.3	      1.0	      8.3	      0.1	  11861.1	     97.9	        0	    0.000	Shape	GPU-0	(100x64x7x7)->(int32 4x1)
59	      8.3	      1.0	      8.3	      0.1	  11869.4	     98.0	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(64x1)->(no output info)
60	      8.2	      1.0	      8.2	      0.1	  11877.6	     98.0	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(32x1)->(no output info)
61	      8.2	      1.0	      8.2	      0.1	  11885.8	     98.1	        0	    0.000	RandomUniform	GPU-0	(int32 2x1)->(100x1024)
62	      8.2	      1.0	      8.2	      0.1	  11893.9	     98.2	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x1)->(no output info)
63	      8.1	      1.0	      8.1	      0.1	  11902.0	     98.2	        0	    0.000	Shape	GPU-0	(100x1)(100x10)->(int32 1x1)
64	      8.0	      1.0	      8.0	      0.1	  11910.0	     98.3	        0	    0.000	Reshape	GPU-0	(100x3136)(int32 4x1)->(100x64x7x7)
65	      7.8	      1.0	      7.8	      0.1	  11917.8	     98.4	        0	    0.000	Shape	GPU-0	(100x1024)->(int32 2x1)
66	      7.3	      1.0	      7.3	      0.1	  11925.1	     98.4	        0	    0.000	BiasAddGrad	GPU-0	(100x10)->(10x1)
67	      3.6	      2.0	      7.1	      0.1	  11932.3	     98.5	        0	    0.000	Mul	GPU-0	(100x1024)(100x1024)->(100x1024)
68	      7.0	      1.0	      7.0	      0.1	  11939.2	     98.5	        0	    0.000	NoOp	CPU-0	(no input)->(no output info)
69	      3.3	      2.0	      6.6	      0.1	  11945.8	     98.6	        0	    0.000	Mul	GPU-0	(100x1024)(1x1)->(100x1024)
70	      6.6	      1.0	      6.6	      0.1	  11952.4	     98.6	        0	    0.000	Sum	GPU-0	(100x1024)(int32 1x1)(int32 2x1)->(100x1024)
71	      6.1	      1.0	      6.3	      0.1	  11958.7	     98.7	        0	    0.000	_Retval	CPU-0	(1x1)->(no output info)
72	      6.2	      1.0	      6.2	      0.1	  11965.0	     98.8	        0	    0.000	RefSwitch	GPU-0	(int64 1x1)(boolean 1x1)->(int64 1x1)
73	      6.1	      1.0	      6.1	      0.1	  11971.1	     98.8	        0	    0.000	ExpandDims	GPU-0	(100x1)(int32 1x1)->(100x1)
74	      6.1	      1.0	      6.1	      0.1	  11977.2	     98.9	        0	    0.000	Reshape	GPU-0	(100x1024)(int32 2x1)->(100x1024)
75	      5.9	      1.0	      5.9	      0.0	  11983.1	     98.9	        0	    0.000	Reshape	GPU-0	(100x64x7x7)(int32 2x1)->(100x3136)
76	      5.8	      1.0	      5.8	      0.0	  11988.9	     99.0	        0	    0.000	Shape	GPU-0	(100x1)->(int32 1x1)
77	      5.8	      1.0	      5.8	      0.0	  11994.7	     99.0	        0	    0.000	Reshape	GPU-0	(1x1)(int32 1x1)->(1x1)
78	      5.7	      1.0	      5.7	      0.0	  12000.4	     99.0	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(32x1)
79	      5.2	      1.0	      5.2	      0.0	  12005.6	     99.1	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(5x5x32x64)
80	      5.2	      1.0	      5.2	      0.0	  12010.7	     99.1	        0	    0.000	Reshape	GPU-0	(100x1)(1|2|3x1)->(100x1)
81	      5.0	      1.0	      5.0	      0.0	  12015.8	     99.2	        0	    0.000	Sum	GPU-0	(100x1)(int32 1x1)(int32 1x1)->(100x1)
82	      5.0	      1.0	      5.0	      0.0	  12020.8	     99.2	        0	    0.000	ReluGrad	GPU-0	(100x1024)(100x1024)->(100x1024)
83	      5.0	      1.0	      5.0	      0.0	  12025.8	     99.3	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(3136x1024)
84	      5.0	      1.0	      5.0	      0.0	  12030.8	     99.3	        0	    0.000	VariableV2	GPU-0	(no input)->(int64 1x1)
85	      4.8	      1.0	      4.8	      0.0	  12035.7	     99.3	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(1024x10)
86	      4.8	      1.0	      4.8	      0.0	  12040.5	     99.4	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(64x1)
87	      4.8	      1.0	      4.8	      0.0	  12045.3	     99.4	        0	    0.000	BiasAddGrad	GPU-0	(100x1024)->(1024x1)
88	      4.8	      1.0	      4.8	      0.0	  12050.0	     99.5	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(10x1)
89	      4.7	      1.0	      4.7	      0.0	  12054.8	     99.5	        0	    0.000	ReadVariableOp	GPU-0	(tf_resource 1x1)->(1024x1)
90	      4.5	      1.0	      4.5	      0.0	  12059.2	     99.5	        0	    0.000	Switch	GPU-0	(int64 1x1)(boolean 1x1)->(int64 1x1)
91	      4.2	      1.0	      4.2	      0.0	  12063.4	     99.6	        0	    0.000	BiasAdd	GPU-0	(100x1024)(1024x1)->(100x1024)
92	      4.2	      1.0	      4.2	      0.0	  12067.6	     99.6	        0	    0.000	Snapshot	GPU-0	(100x1)(100x10)->(100x1)
93	      2.1	      2.0	      4.1	      0.0	  12071.8	     99.6	        0	    0.000	Sum	GPU-0	(100x1)(1)->(1x1)
94	      2.0	      2.0	      4.0	      0.0	  12075.8	     99.7	        2	    0.001	RealDiv	GPU-0	(1x1)(1x1)->(1x1)
95	      3.5	      1.0	      3.6	      0.0	  12079.3	     99.7	        0	    0.000	_Retval	CPU-0	(int64 1x1)->(no output info)
96	      1.7	      2.0	      3.4	      0.0	  12082.7	     99.7	        2	    0.001	Mul	GPU-0	(1x1)(1x1)->(1x1)
97	      3.3	      1.0	      3.3	      0.0	  12086.0	     99.8	        0	    0.000	Add	GPU-0	(1x1)(100x1024)->(100x1024)
98	      2.8	      1.0	      2.8	      0.0	  12088.8	     99.8	        0	    0.000	Relu	GPU-0	(100x1024)->(100x1024)
99	      2.8	      1.0	      2.8	      0.0	  12091.6	     99.8	        0	    0.000	Floor	GPU-0	(100x1024)->(100x1024)
100	      2.5	      1.0	      2.5	      0.0	  12094.1	     99.8	        0	    0.000	Tile	GPU-0	(1x1)(int32 1x1)->(100x1)
101	      1.0	      2.0	      2.0	      0.0	  12096.1	     99.8	        0	    0.000	MEMCPYDtoD	GPU-0	(Transfer)->(4 bytes)
102	      2.0	      1.0	      2.0	      0.0	  12098.1	     99.9	        0	    0.000	BiasAdd	GPU-0	(100x10)(10x1)->(100x10)
103	      1.9	      1.0	      1.9	      0.0	  12100.0	     99.9	        0	    0.000	Select	GPU-0	(boolean 1x1)(1x1)(1x1)->(1x1)
104	      1.8	      1.0	      1.8	      0.0	  12101.8	     99.9	        1	    0.001	AssignAdd	GPU-0	(int64 1x1)(int64 1x1)->(int64 1x1)
105	      1.8	      1.0	      1.8	      0.0	  12103.6	     99.9	        0	    0.000	Fill	GPU-0	(int32 1x1)(1x1)->(100x1)
106	      1.8	      1.0	      1.8	      0.0	  12105.4	     99.9	        1	    0.001	Greater	GPU-0	(1x1)(1|2|3x1)->(boolean 1x1)
107	      1.7	      1.0	      1.7	      0.0	  12107.1	     99.9	        0	    0.000	Select	GPU-0	(boolean 1x1)(1x1)(1|2|3x1)->(1x1)
108	      1.7	      1.0	      1.7	      0.0	  12108.7	     99.9	        0	    0.000	Select	GPU-0	(boolean 1x1)(1|2|3x1)(1x1)->(1x1)
109	      1.6	      1.0	      1.6	      0.0	  12110.3	    100.0	        1	    0.001	Equal	GPU-0	(1x1)(1|2|3x1)->(boolean 1x1)
110	      1.0	      1.0	      1.0	      0.0	  12111.4	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(4 bytes)
111	      1.0	      1.0	      1.0	      0.0	  12112.4	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(8 bytes)
112	      1.0	      1.0	      1.0	      0.0	  12113.4	    100.0	        0	    0.000	MEMCPYHtoD	GPU-0	(Transfer)->(400 bytes)
113	      1.0	      1.0	      1.0	      0.0	  12114.4	    100.0	        0	    0.000	MEMCPYDtoD	GPU-0	(Transfer)->(8 bytes)
114	     24.0	      0.0	      0.5	      0.0	  12114.9	    100.0	        0	    0.000	ScalarSummary	CPU-0	(string 1x1)(1x1)->(string 1x1)
115	     25.0	      0.0	      0.2	      0.0	  12115.1	    100.0	        0	    0.000	Equal	GPU-0	(int32 100x1)(100x784)(int32 100x1)->(boolean 100x1)
116	     19.0	      0.0	      0.2	      0.0	  12115.3	    100.0	        0	    0.000	MergeSummary	CPU-0	(string 1x1)(string 1x1)->(string 1x1)
117	     17.0	      0.0	      0.2	      0.0	  12115.5	    100.0	        0	    0.000	Size	GPU-0	(100x1)->(int32 1x1)
118	      7.5	      0.0	      0.1	      0.0	  12115.6	    100.0	        0	    0.000	Const	CPU-0	(no input)->(string 1x1)
119	     15.0	      0.0	      0.1	      0.0	  12115.8	    100.0	        0	    0.000	BroadcastGradientArgs	GPU-0	(int32 1x1)(int32 1x1)->(int32 1x1)(int32 1x1)
120	      5.0	      0.0	      0.1	      0.0	  12115.8	    100.0	        0	    0.000	Reshape	GPU-0	(100x1)(int32 1x1)->(100x1)
121	      2.0	      0.0	      0.0	      0.0	  12115.9	    100.0	        0	    0.001	AssignAdd	GPU-0	(1x1)(1x1)->(1x1)
122	      4.0	      0.0	      0.0	      0.0	  12115.9	    100.0	        0	    0.000	ArgMax	GPU-0	(100x10)(int32 1x1)->(int64 100x1)
123	      3.0	      0.0	      0.0	      0.0	  12115.9	    100.0	        0	    0.000	_Retval	CPU-0	(string 1x1)->(no output info)
124	      3.0	      0.0	      0.0	      0.0	  12116.0	    100.0	        0	    0.000	Sum	GPU-0	(100x1)(int32 1x1)->(1x1)
125	      2.0	      0.0	      0.0	      0.0	  12116.0	    100.0	        0	    0.001	Greater	GPU-0	(1x1)(1x1)->(boolean 1x1)
126	      2.0	      0.0	      0.0	      0.0	  12116.0	    100.0	        0	    0.000	Cast	GPU-0	(boolean 100x1)->(100x1)
127	      2.0	      0.0	      0.0	      0.0	  12116.0	    100.0	        0	    0.000	Cast	GPU-0	(int32 1x1)->(1x1)
128	      1.0	      0.0	      0.0	      0.0	  12116.0	    100.0	        0	    0.000	MEMCPYHtoD	GPU-0	(Transfer)->(100 bytes)
129	      1.0	      0.0	      0.0	      0.0	  12116.0	    100.0	        0	    0.000	Fill	GPU-0	(1|2|3x1)(1x1)->(100x1)
130	      1.0	      0.0	      0.0	      0.0	  12116.1	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(400 bytes)
131	      1.0	      0.0	      0.0	      0.0	  12116.1	    100.0	        0	    0.000	MEMCPYHtoD	GPU-0	(Transfer)->(4 bytes)
132	      1.0	      0.0	      0.0	      0.0	  12116.1	    100.0	        0	    0.000	Cast	GPU-0	(int64 100x1)->(int32 100x1)
