Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
30	     1.99	    19.00	    37.76	     0.43	  8257.90	    93.58	     0.00	     0.00	StridedSlice	GPU-0	(20x20x200)(1|2|3x1)(int32 3x1)(1|2|3x1)->(20x200)
31	    15.97	     2.00	    31.94	     0.36	  8289.84	    93.94	640000.00	    20.04	Mul	GPU-0	(400x800)(1x1)->(400x800)
32	    27.63	     1.00	    27.63	     0.31	  8317.47	    94.25	     0.00	     0.00	QueueDequeueV2	CPU-0	(tf_resource 1x1)->(int32 1x1)
33	    26.05	     1.00	    26.05	     0.30	  8343.52	    94.55	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(320000 bytes)
34	     1.07	    24.00	    25.70	     0.29	  8369.22	    94.84	     0.00	     0.00	Const	GPU-0	(no input)->(int32 3x1)
35	    25.33	     1.00	    25.33	     0.29	  8394.55	    95.13	 80000.00	     3.16	Mul	CPU-0	(400x200)(1x1)->(400x200)
36	    16.18	     1.00	    16.18	     0.18	  8410.73	    95.31	     0.00	     0.00	FIFOQueueV2	CPU-0	(no input)->(tf_resource 1x1)
37	     7.71	     2.00	    15.43	     0.17	  8426.16	    95.48	 30400.00	     1.97	AddN	GPU-0	(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)->(800x1)
38	    14.03	     1.00	    14.03	     0.16	  8440.19	    95.64	     0.00	     0.00	ConcatV2	GPU-0	(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(1)->(20x4000)
39	    12.53	     1.00	    12.53	     0.14	  8452.72	    95.78	     0.00	     0.00	StridedSlice	GPU-0	(1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)
40	    12.19	     1.00	    12.19	     0.14	  8464.91	    95.92	     0.00	     0.00	LSTMBlockCellGrad	GPU-0	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)->(20x200)(20x800)(200x1)(200x1)(200x1)
41	     1.35	     9.00	    12.14	     0.14	  8477.05	    96.06	     0.00	     0.00	Const	GPU-0	(no input)->(int32 1x1)
42	    12.09	     1.00	    12.09	     0.14	  8489.14	    96.20	     0.00	     0.00	LSTMBlockCellGrad	GPU-0	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)->(20x200)(20x800)(200x1)(200x1)(200x1)
43	     3.96	     3.00	    11.88	     0.13	  8501.02	    96.33	     0.00	     0.00	Pack	GPU-0	(int32 2x1)(int32 1x1)->(int32 2x1)
44	    11.01	     1.00	    11.01	     0.12	  8512.03	    96.46	     1.00	     0.00	Mul	GPU-0	(int32 1x1)(int32 1x1)->(int32 1x1)
45	     5.35	     2.00	    10.70	     0.12	  8522.73	    96.58	     0.00	     0.00	VariableV2	GPU-0	(no input)->(400x800)
46	     9.93	     1.00	     9.93	     0.11	  8532.66	    96.69	     0.00	     0.00	SplitV	GPU-0	(20x4000)(1)(1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)
47	     4.75	     2.00	     9.50	     0.11	  8542.16	    96.80	     0.00	     0.00	StridedSlice	GPU-0	(1|2|3x1)(int32 2x1)(int32 2x1)(1|2|3x1)->(int32 20x20)
48	     9.33	     1.00	     9.33	     0.11	  8551.49	    96.90	     0.00	     0.00	VariableV2	CPU-0	(no input)->(10000x200)
49	     8.38	     1.00	     8.38	     0.09	  8559.87	    97.00	     2.00	     0.00	Maximum	GPU-0	(int32 2x1)(int32 1x1)->(int32 2x1)
50	     8.34	     1.00	     8.34	     0.09	  8568.21	    97.09	     1.00	     0.00	Add	GPU-0	(int32 1x1)(int32 1x1)->(int32 1x1)
51	     2.74	     3.00	     8.23	     0.09	  8576.44	    97.19	     0.00	     0.00	NoOp	GPU-0	(no input)->(no output info)
52	     0.82	    10.00	     8.20	     0.09	  8584.64	    97.28	     0.00	     0.00	Const	GPU-0	(no input)->(int32 2x1)
53	     8.03	     1.00	     8.03	     0.09	  8592.67	    97.37	     0.00	     0.00	ConcatV2	GPU-0	(1|2|3x1)(int32 1x1)(1)->(int32 2x1)
54	     2.00	     4.00	     7.99	     0.09	  8600.66	    97.46	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(16000 bytes)
55	     7.13	     1.00	     7.13	     0.08	  8607.79	    97.54	     0.00	     0.00	Pack	GPU-0	(int32 1x1)(int32 1x1)->(int32 2x1)
56	     7.00	     1.00	     7.00	     0.08	  8614.79	    97.62	     0.00	     0.00	MEMCPYDtoD	GPU-0	(Transfer)->(4 bytes)
57	     5.82	     1.00	     5.82	     0.07	  8620.61	    97.69	239999.00	    41.24	L2Loss	GPU-0	(400x200)->(1x1)
58	     5.65	     1.00	     5.65	     0.06	  8626.26	    97.75	 29999.00	     5.31	L2Loss	GPU-0	(10000x1)->(1x1)
59	     1.39	     4.00	     5.56	     0.06	  8631.82	    97.81	     0.00	     0.00	Const	GPU-0	(no input)->(1x1)
60	     2.75	     2.00	     5.49	     0.06	  8637.31	    97.88	     0.00	     0.00	VariableV2	GPU-0	(no input)->(800x1)
61	     5.26	     1.00	     5.26	     0.06	  8642.57	    97.94	     0.00	     0.00	StridedSliceGrad	GPU-0	(int32 3x1)(1|2|3x1)(int32 3x1)(1|2|3x1)(20x200)->(20x20x200)
62	     2.56	     2.00	     5.12	     0.06	  8647.69	    97.99	  4798.00	     0.94	L2Loss	GPU-0	(800x1)->(1x1)
63	     5.12	     1.00	     5.12	     0.06	  8652.81	    98.05	     0.00	     0.00	Const	CPU-0	(no input)->(int32 1x1)
64	     2.54	     2.00	     5.08	     0.06	  8657.89	    98.11	     0.00	     0.00	ApplyGradientDescent	GPU-0	(800x1)(1x1)(800x1)->(800x1)
65	     5.04	     1.00	     5.04	     0.06	  8662.93	    98.17	     0.00	     0.00	StridedSliceGrad	GPU-0	(1|2|3x1)(int32 3x1)(int32 3x1)(int32 3x1)(20x200)->(20x20x200)
66	     4.85	     1.00	     4.85	     0.05	  8667.78	    98.22	     0.00	     0.00	DynamicStitch	GPU-0	(1)(1)(int32 2x1)(1)->(int32 2x1)
67	     2.34	     2.00	     4.68	     0.05	  8672.46	    98.27	     2.00	     0.00	Add	GPU-0	(1)(1|2|3x1)->(int32 1x1)
68	     1.04	     4.00	     4.15	     0.05	  8676.61	    98.32	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(16000 bytes)
69	     4.04	     1.00	     4.04	     0.05	  8680.65	    98.37	     0.00	     0.00	ExpandDims	GPU-0	(400x1)(int32 1x1)->(400x1)
70	     1.00	     4.00	     4.02	     0.05	  8684.67	    98.41	     0.00	     0.00	_Arg	CPU-0	(no input)->(20x200)
71	     2.01	     2.00	     4.02	     0.05	  8688.69	    98.46	  1600.00	     0.40	Mul	GPU-0	(800x1)(1x1)->(800x1)
72	     1.93	     2.00	     3.85	     0.04	  8692.54	    98.50	     2.00	     0.00	Mul	GPU-0	(1x1)(1x1)->(1x1)
73	     1.90	     2.00	     3.80	     0.04	  8696.34	    98.54	     0.00	     0.00	ZerosLike	GPU-0	(20x200)->(20x200)
74	     3.65	     1.00	     3.65	     0.04	  8699.99	    98.59	     0.00	     0.00	Reshape	GPU-0	(1|2|3x1)(int32 2x1)->(1x20)
75	     0.90	     4.00	     3.59	     0.04	  8703.58	    98.63	     0.00	     0.00	Identity	GPU-0	(400x800)->(400x800)
76	     3.47	     1.00	     3.47	     0.04	  8707.05	    98.67	     0.00	     0.00	FloorDiv	GPU-0	(int32 2x1)(int32 2x1)->(int32 2x1)
77	     3.45	     1.00	     3.45	     0.04	  8710.50	    98.71	     0.00	     0.00	ApplyGradientDescent	GPU-0	(10000x1)(1x1)(10000x1)->(10000x1)
78	     0.84	     4.00	     3.36	     0.04	  8713.86	    98.74	     0.00	     0.00	_Retval	CPU-0	(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)->(no output info)
79	     3.35	     1.00	     3.35	     0.04	  8717.21	    98.78	   380.00	     0.11	Sum	GPU-0	(20x20)(int32 1x1)->(20x1)
80	     0.74	     4.00	     2.97	     0.03	  8720.18	    98.82	     0.00	     0.00	Identity	GPU-0	(800x1)->(800x1)
81	     2.96	     1.00	     2.96	     0.03	  8723.14	    98.85	 80000.00	    27.03	Mul	GPU-0	(400x200)(1x1)->(400x200)
82	     2.94	     1.00	     2.94	     0.03	  8726.08	    98.88	     0.00	     0.00	Identity	GPU-0	(no output info)->(1x1)
83	     2.82	     1.00	     2.82	     0.03	  8728.90	    98.91	     0.00	     0.00	Const	GPU-0	(no input)->(int64 1x1)
84	     2.81	     1.00	     2.81	     0.03	  8731.71	    98.95	    20.00	     0.01	RealDiv	GPU-0	(20x1)(1|2|3x1)->(20x1)
85	     1.35	     2.00	     2.71	     0.03	  8734.42	    98.98	     0.00	     0.00	Const	GPU-0	(no input)->(20x1)
86	     2.56	     1.00	     2.56	     0.03	  8736.98	    99.01	     6.00	     0.00	Sum	GPU-0	(7x1)(1)->(1x1)
87	     2.56	     1.00	     2.56	     0.03	  8739.54	    99.03	 10000.00	     3.91	Mul	GPU-0	(10000x1)(1x1)->(10000x1)
88	     2.56	     1.00	     2.56	     0.03	  8742.10	    99.06	    19.00	     0.01	Sum	GPU-0	(20x1)(1)->(1x1)
89	     2.53	     1.00	     2.53	     0.03	  8744.63	    99.09	     1.00	     0.00	RealDiv	GPU-0	(1x1)(1x1)->(1x1)
90	     2.53	     1.00	     2.53	     0.03	  8747.16	    99.12	     0.00	     0.00	Slice	GPU-0	(20x400)(int32 2x1)(int32 2x1)->(20x200)
91	     2.51	     1.00	     2.51	     0.03	  8749.67	    99.15	     0.00	     0.00	VariableV2	GPU-0	(no input)->(200x10000)
92	     2.49	     1.00	     2.49	     0.03	  8752.16	    99.18	     0.00	     0.00	Const	GPU-0	(no input)->(200x1)
93	     2.43	     1.00	     2.43	     0.03	  8754.59	    99.20	     0.00	     0.00	Sqrt	GPU-0	(1x1)->(1x1)
94	     2.43	     1.00	     2.43	     0.03	  8757.02	    99.23	     0.00	     0.00	Reshape	GPU-0	(20x4000)(int32 2x1)->(400x200)
95	     2.36	     1.00	     2.36	     0.03	  8759.38	    99.26	   400.00	     0.17	Mul	GPU-0	(400x1)(400x10000)(400x10000)->(400x1)
96	     2.32	     1.00	     2.32	     0.03	  8761.70	    99.29	  4000.00	     1.72	AddN	GPU-0	(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)->(20x200)
97	     2.31	     1.00	     2.31	     0.03	  8764.01	    99.31	     1.00	     0.00	Mul	GPU-0	(int32 1x1)(1|2|3x1)->(int32 1x1)
98	     2.30	     1.00	     2.30	     0.03	  8766.31	    99.34	     1.00	     0.00	Minimum	GPU-0	(1x1)(1x1)->(1x1)
99	     2.29	     1.00	     2.29	     0.03	  8768.60	    99.36	     0.00	     0.00	Reshape	GPU-0	(20x20)(1|2|3x1)->(400x1)
100	     2.26	     1.00	     2.26	     0.03	  8770.86	    99.39	     0.00	     0.00	Reshape	GPU-0	(int32 20x20)(int32 1x1)->(int32 400x1)
101	     2.23	     1.00	     2.23	     0.03	  8773.09	    99.41	   400.00	     0.18	Mul	GPU-0	(400x1)(400x10000)->(400x1)
102	     2.23	     1.00	     2.23	     0.03	  8775.32	    99.44	     0.00	     0.00	Tile	GPU-0	(1x20)(int32 2x1)->(20x20)
103	     2.21	     1.00	     2.21	     0.03	  8777.53	    99.46	     0.00	     0.00	Slice	GPU-0	(20x400)(int32 2x1)(1)->(20x200)
104	     2.16	     1.00	     2.16	     0.02	  8779.69	    99.49	     0.00	     0.00	Reshape	GPU-0	(int32 20x20)(1|2|3x1)->(int32 400x1)
105	     2.12	     1.00	     2.12	     0.02	  8781.81	    99.51	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(84 bytes)
106	     1.00	     2.00	     2.00	     0.02	  8783.81	    99.54	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(4 bytes)
107	     1.97	     1.00	     1.97	     0.02	  8785.78	    99.56	     0.00	     0.00	VariableV2	GPU-0	(no input)->(int64 1x1)
108	     1.97	     1.00	     1.97	     0.02	  8787.75	    99.58	     1.00	     0.00	AssignAdd	GPU-0	(int64 1x1)(int64 1x1)->(int64 1x1)
109	     1.88	     1.00	     1.88	     0.02	  8789.63	    99.60	     0.00	     0.00	StridedSlice	GPU-0	(20x20x200)(int32 3x1)(int32 3x1)(int32 3x1)->(20x200)
110	     1.88	     1.00	     1.88	     0.02	  8791.51	    99.62	     0.00	     0.00	VariableV2	GPU-0	(no input)->(1x1)
111	     1.80	     1.00	     1.80	     0.02	  8793.31	    99.64	     0.00	     0.00	VariableV2	GPU-0	(no input)->(10000x1)
112	     1.79	     1.00	     1.79	     0.02	  8795.10	    99.66	     0.00	     0.00	Const	CPU-0	(no input)->(1x1)
113	     1.77	     1.00	     1.77	     0.02	  8796.87	    99.68	     0.00	     0.00	Const	CPU-0	(no input)->(int32 2x1)
114	     1.76	     1.00	     1.76	     0.02	  8798.63	    99.70	     0.00	     0.00	Reshape	GPU-0	(20x20x200)(int32 2x1)->(400x200)
115	     1.70	     1.00	     1.70	     0.02	  8800.33	    99.72	     0.00	     0.00	Reshape	GPU-0	(400x200)(int32 2x1)->(20x4000)
116	     0.84	     2.00	     1.68	     0.02	  8802.01	    99.74	     0.00	     0.00	Identity	GPU-0	(10000x1)->(10000x1)
117	     1.65	     1.00	     1.65	     0.02	  8803.66	    99.76	     0.00	     0.00	Reshape	GPU-0	(400x10000)(int32 3x1)->(20x20x10000)
118	     0.72	     2.00	     1.44	     0.02	  8805.10	    99.78	     0.00	     0.00	Identity	GPU-0	(200x10000)->(200x10000)
119	     1.39	     1.00	     1.39	     0.02	  8806.49	    99.79	     0.00	     0.00	Const	GPU-0	(no input)->(400x1)
120	     1.30	     1.00	     1.30	     0.01	  8807.79	    99.81	     0.00	     0.00	Reshape	GPU-0	(20x20x10000)(int32 2x1)->(400x10000)
121	     0.64	     2.00	     1.28	     0.01	  8809.07	    99.82	     0.00	     0.00	NoOp	CPU-0	(no input)->(no output info)
122	     1.26	     1.00	     1.26	     0.01	  8810.33	    99.84	     0.00	     0.00	PreventGradient	GPU-0	(400x10000)->(400x10000)
123	     1.24	     1.00	     1.24	     0.01	  8811.57	    99.85	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(8 bytes)
124	     1.21	     1.00	     1.21	     0.01	  8812.78	    99.86	     0.00	     0.00	Reshape	GPU-0	(400x10000)(1|2|3x1)->(20x20x10000)
125	     1.18	     1.00	     1.18	     0.01	  8813.96	    99.88	     0.00	     0.00	Reshape	GPU-0	(20x20x10000)(1|2|3x1)->(400x10000)
126	     1.15	     1.00	     1.15	     0.01	  8815.11	    99.89	     0.00	     0.00	Identity	CPU-0	(10000x200)->(10000x200)
127	     1.10	     1.00	     1.10	     0.01	  8816.21	    99.90	     0.00	     0.00	Identity	GPU-0	(400x200)->(400x200)
128	     1.08	     1.00	     1.08	     0.01	  8817.29	    99.92	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(1600 bytes)
129	     1.08	     1.00	     1.08	     0.01	  8818.37	    99.93	     0.00	     0.00	Reshape	GPU-0	(400x1)(1|2|3x1)->(20x20)
130	     1.00	     1.00	     1.00	     0.01	  8819.37	    99.94	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(160 bytes)
131	     1.00	     1.00	     1.00	     0.01	  8820.37	    99.95	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(4 bytes)
132	     1.00	     1.00	     1.00	     0.01	  8821.37	    99.96	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(8 bytes)
133	     0.91	     1.00	     0.91	     0.01	  8822.28	    99.97	     0.00	     0.00	_Retval	CPU-0	(1x1)->(no output info)
134	     0.86	     1.00	     0.86	     0.01	  8823.14	    99.98	     0.00	     0.00	Identity	GPU-0	(1x1)->(1x1)
135	     0.81	     1.00	     0.81	     0.01	  8823.95	    99.99	     0.00	     0.00	Const	GPU-0	(no input)->(int32 20x46479)
136	     0.80	     1.00	     0.80	     0.01	  8824.75	   100.00	     0.00	     0.00	Const	GPU-0	(no input)->(int32 20x1)
