Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
22	     15.6	60	    933.6	      1.1	  78714.0	     89.3	StridedSliceGrad	GPU-0	(3x1)(3x1)(3x1)(3x1)(200x200)->(200x20x200)
23	     22.3	40	    891.7	      1.0	  79605.7	     90.3	concat	GPU-0	(200x200)(200x200)(1x1)->(200x400)
24	     11.1	80	    885.3	      1.0	  80491.0	     91.3	BiasAdd	GPU-0	(200x800)(800x1)->(200x800)
25	     51.7	16	    827.4	      0.9	  81318.4	     92.2	MEMCPYDtoH	GPU-0	(no input)->(no output)
26	     42.3	16	    677.0	      0.8	  81995.4	     93.0	MEMCPYHtoD	GPU-0	(no input)->(no output)
27	      3.5	160	    559.1	      0.6	  82554.5	     93.6	ConcatV2	GPU-0	(200x200)(200x200)(200x200)(200x200)(1x1)->(200x800)
28	      6.9	80	    551.9	      0.6	  83106.4	     94.2	Add	GPU-0	(200x200)(1x1)->(200x200)
29	    135.1	4	    540.5	      0.6	  83646.9	     94.9	AddN	GPU-0	(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)->(200x20x200)
30	      6.6	80	    529.9	      0.6	  84176.8	     95.5	Add	GPU-0	(200x200)(200x200)->(200x200)
31	    478.9	1	    478.9	      0.5	  84655.7	     96.0	ScatterSub	CPU-0	(10000x200)(4000x1)(4000x200)->(10000x200)
32	     59.8	8	    478.4	      0.5	  85134.1	     96.5	AddN	GPU-0	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)
33	    357.6	1	    357.6	      0.4	  85491.7	     97.0	embedding_lookup	CPU-0	(10000x200)(200x20)(1x1)->(200x20x200)
34	    259.5	1	    259.5	      0.3	  85751.2	     97.2	mul	CPU-0	(4000x200)(1x1)->(4000x200)
35	      3.1	80	    250.3	      0.3	  86001.5	     97.5	ConcatV2	GPU-0	(200x200)(200x200)(1x1)->(200x400)
36	     86.2	2	    172.5	      0.2	  86174.0	     97.7	ApplyGradientDescent	GPU-0	(200x10000)(1x1)(200x10000)->(200x10000)
37	     57.9	2	    115.8	      0.1	  86289.8	     97.9	mul	GPU-0	(200x10000)(1x1)->(200x10000)
38	     29.4	3	     88.1	      0.1	  86377.9	     98.0	L2Loss	GPU-0	(200x10000)->(1x1)
39	     14.5	6	     87.0	      0.1	  86464.9	     98.1	L2Loss	GPU-0	(400x800)->(1x1)
40	     21.2	4	     85.0	      0.1	  86549.9	     98.2	ApplyGradientDescent	GPU-0	(400x800)(1x1)(400x800)->(400x800)
41	      9.6	8	     76.6	      0.1	  86626.5	     98.2	AddN	GPU-0	(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)(800x1)->(800x1)
42	     35.8	2	     71.5	      0.1	  86698.0	     98.3	DynamicStitch	GPU-0	(2x1)(1x1)(2x1)(1x1)->((int32) 2x1)
43	     69.0	1	     69.0	      0.1	  86767.0	     98.4	stack	GPU-0	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(7x1)
44	     65.9	1	     65.9	      0.1	  86832.9	     98.5	concat	GPU-0	(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(1x1)->(200x4000)
45	     21.5	3	     64.4	      0.1	  86897.3	     98.5	L2Loss	GPU-0	(4000x200)->(1x1)
46	     63.4	1	     63.4	      0.1	  86960.7	     98.6	SplitV	GPU-0	(200x4000)(20x1)(1x1)->(200x200)
47	     63.3	1	     63.3	      0.1	  87024.0	     98.7	split	GPU-0	(200x4000)(20x1)(1x1)->(200x200)
48	      1.5	40	     61.8	      0.1	  87085.8	     98.8	Sum	GPU-0	(200x200)(?)->(200x200)
49	     57.6	1	     57.6	      0.1	  87143.4	     98.8	ConcatV2	GPU-0	(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(1x1)->(200x4000)
50	     14.2	4	     56.6	      0.1	  87200.0	     98.9	mul	GPU-0	(400x800)(1x1)->(400x800)
51	     23.9	2	     47.7	      0.1	  87247.7	     98.9	mul	GPU-0	(4000x200)(1x1)->(4000x200)
52	     43.5	1	     43.5	      0.0	  87291.2	     99.0	GradientDescent	GPU-0	(1x1)(1x1)->((int64) 1x1)
53	      1.0	40	     39.8	      0.0	  87331.0	     99.0	Reshape	GPU-0	(1x1)(2x1)->(200x200)
54	     19.8	2	     39.5	      0.0	  87370.5	     99.1	Tile	GPU-0	(1x1)(2x1)->(200x20)
55	     11.6	3	     34.7	      0.0	  87405.2	     99.1	Sum	GPU-0	(200x20)(1x1)->(20x1)
56	      1.5	22	     33.2	      0.0	  87438.4	     99.2	stack	GPU-0	(no input)->((int32) 3x1)
57	      8.3	4	     33.2	      0.0	  87471.6	     99.2	L2Loss	GPU-0	(800x1)->(1x1)
58	     16.4	2	     32.7	      0.0	  87504.3	     99.2	Sum	GPU-0	(20x1)(1x1)->(1x1)
59	      7.2	4	     28.8	      0.0	  87533.1	     99.3	mul	GPU-0	(1x1)(1x1)->(1x1)
60	      9.4	3	     28.1	      0.0	  87561.2	     99.3	L2Loss	GPU-0	(10000x1)->(1x1)
61	      6.8	4	     27.2	      0.0	  87588.4	     99.3	ApplyGradientDescent	GPU-0	(800x1)(1x1)(800x1)->(800x1)
62	     26.7	1	     26.7	      0.0	  87615.1	     99.4	input_producer_Dequeue	CPU-0	(1x1)->((int32) 1x1)
63	     26.2	1	     26.2	      0.0	  87641.3	     99.4	input_producer	CPU-0	(no input)->((type 20) 1x1)
64	     11.4	2	     22.9	      0.0	  87664.2	     99.4	StridedSlice	GPU-0	((int32) 200x4647)(2x1)(2x1)(2x1)->((int32) 200x20)
65	      5.6	4	     22.5	      0.0	  87686.7	     99.4	mul	GPU-0	(800x1)(1x1)->(800x1)
66	     21.1	1	     21.1	      0.0	  87707.8	     99.5	strided_slice	GPU-0	(2x1)(1x1)(1x1)(1x1)->((int32) 1x1)
67	     10.4	2	     20.8	      0.0	  87728.6	     99.5	mul	GPU-0	(1x1)(1x1)->((int32) 1x1)
68	     10.1	2	     20.1	      0.0	  87748.7	     99.5	Sum	GPU-0	(7x1)(1x1)->(1x1)
69	     19.1	1	     19.1	      0.0	  87767.8	     99.5	truediv	GPU-0	(20x1)(20x1)->(20x1)
70	      9.3	2	     18.6	      0.0	  87786.4	     99.6	begin	GPU-0	(1x1)(1x1)->((int32) 2x1)
71	      9.2	2	     18.3	      0.0	  87804.7	     99.6	Mul	GPU-0	(4000x1)(4000x1)->(4000x1)
72	      7.8	2	     15.6	      0.0	  87820.3	     99.6	Minimum	GPU-0	(1x1)(1x1)->(1x1)
73	      7.7	2	     15.4	      0.0	  87835.7	     99.6	mul	GPU-0	(4000x1)(4000x1)->(4000x1)
74	      1.0	14	     14.0	      0.0	  87849.7	     99.6	MEMCPYDtoD	GPU-0	(no input)->(no output)
75	      6.7	2	     13.4	      0.0	  87863.1	     99.6	mul	GPU-0	(10000x1)(1x1)->(10000x1)
76	     13.1	1	     13.1	      0.0	  87876.2	     99.7	truediv	GPU-0	(1x1)(1x1)->(1x1)
77	     12.7	1	     12.7	      0.0	  87888.9	     99.7	xw_plus_b	GPU-0	(4000x10000)(10000x1)->(4000x10000)
78	      6.2	2	     12.5	      0.0	  87901.4	     99.7	kernel	GPU-0	(no input)->(400x800)
79	      6.2	2	     12.3	      0.0	  87913.7	     99.7	ApplyGradientDescent	GPU-0	(10000x1)(1x1)(10000x1)->(10000x1)
80	     12.2	1	     12.2	      0.0	  87925.9	     99.7	Maximum	GPU-0	((int32) 2x1)(1x1)->((int32) 2x1)
81	     11.9	1	     11.9	      0.0	  87937.8	     99.7	Shape	GPU-0	(20x1)->((int32) 1x1)
82	     11.0	1	     11.0	      0.0	  87948.8	     99.7	embedding	CPU-0	(no input)->(10000x200)
83	     10.2	1	     10.2	      0.0	  87959.0	     99.8	global_norm	GPU-0	(1x1)->(1x1)
84	      3.4	3	     10.2	      0.0	  87969.2	     99.8	add	GPU-0	(1x1)(1x1)->((int32) 1x1)
85	      4.8	2	      9.7	      0.0	  87978.9	     99.8	end	GPU-0	(1x1)(1x1)->((int32) 2x1)
86	      2.3	4	      9.2	      0.0	  87988.1	     99.8	zeros	CPU-0	(no input)->(200x200)
87	      8.8	1	      8.8	      0.0	  87996.9	     99.8	NoOp	GPU-0	(no input)->(1x1)
88	      4.4	2	      8.8	      0.0	  88005.7	     99.8	bias	GPU-0	(no input)->(800x1)
89	      4.1	2	      8.2	      0.0	  88013.9	     99.8	_SOURCE	GPU+CPU-0	(no input)->(no output)
90	      3.6	2	      7.2	      0.0	  88021.1	     99.8	Mul	CPU-0	(no input)->(no output)
91	      6.6	1	      6.6	      0.0	  88027.7	     99.8	ExpandDims	GPU-0	(4000x1)(1x1)->(4000x1)
92	      3.2	2	      6.5	      0.0	  88034.2	     99.8	y	GPU-0	(no input)->((int32) 1x1)
93	      6.2	1	      6.2	      0.0	  88040.4	     99.8	concat	GPU-0	(1x1)(1x1)(1x1)->((int32) 2x1)
94	      3.0	2	      6.1	      0.0	  88046.5	     99.8	Const	GPU-0	(no input)->(1x1)
95	      0.9	6	      5.3	      0.0	  88051.8	     99.9	__cf_	GPU-0	(no input)->((int32) 2x1)
96	      2.1	2	      4.3	      0.0	  88056.1	     99.9	Reshape	GPU-0	(200x20)(1x1)->((int32) 4000x1)
97	      4.1	1	      4.1	      0.0	  88060.2	     99.9	BroadcastGradientArgs	GPU-0	(1x1)(1x1)->((int32) 1x1)
98	      0.8	5	      4.0	      0.0	  88064.2	     99.9	__cf_	GPU-0	(no input)->((int32) 1x1)
99	      1.0	4	      4.0	      0.0	  88068.2	     99.9	MEMCPYHtoD	GPU-0	(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)(200x200)->(no output)
100	      4.0	1	      4.0	      0.0	  88072.2	     99.9	global_step	GPU-0	(no input)->((int64) 1x1)
101	      3.8	1	      3.8	      0.0	  88076.0	     99.9	dim	GPU-0	(no input)->((int32) 1x1)
102	      3.5	1	      3.5	      0.0	  88079.5	     99.9	Reshape	GPU-0	(200x4000)(2x1)->(4000x200)
103	      1.7	2	      3.4	      0.0	  88082.9	     99.9	Add	CPU-0	(no input)->(no output)
104	      3.2	1	      3.2	      0.0	  88086.1	     99.9	softmax_w	GPU-0	(no input)->(200x10000)
105	      3.1	1	      3.1	      0.0	  88089.2	     99.9	Shape	GPU-0	(200x20)->((int32) 2x1)
106	      3.1	1	      3.1	      0.0	  88092.3	     99.9	__cf_	GPU-0	(no input)->((int32) 200x4647)
107	      3.0	1	      3.0	      0.0	  88095.3	     99.9	RealDiv	GPU-0	(20x1)(20x1)->(20x1)
108	      2.9	1	      2.9	      0.0	  88098.2	     99.9	Reshape	GPU-0	(20x1)((int32) 2x1)->(1x20)
109	      2.7	1	      2.7	      0.0	  88100.9	     99.9	axis	CPU-0	(no input)->((int32) 1x1)
110	      1.4	2	      2.7	      0.0	  88103.6	     99.9	__cf_	GPU-0	(no input)->(20x1)
111	      1.3	2	      2.6	      0.0	  88106.2	     99.9	Reshape	GPU-0	(4000x10000)(3x1)->(200x20x10000)
112	      2.6	1	      2.6	      0.0	  88108.8	     99.9	RealDiv	GPU-0	(1x1)(1x1)->(1x1)
113	      2.6	1	      2.6	      0.0	  88111.4	     99.9	floordiv	GPU-0	(2x1)((int32) 2x1)->((int32) 2x1)
114	      2.6	1	      2.6	      0.0	  88114.0	     99.9	Sum	CPU-0	(no input)->(no output)
115	      1.2	2	      2.5	      0.0	  88116.5	     99.9	x	GPU-0	(no input)->(1x1)
116	      0.8	3	      2.5	      0.0	  88119.0	     99.9	Shape	GPU-0	(no input)->((int32) 2x1)
117	      2.4	1	      2.4	      0.0	  88121.4	     99.9	Sqrt	GPU-0	(1x1)->(1x1)
118	      2.4	1	      2.4	      0.0	  88123.8	     99.9	NoOp	CPU-0	(no input)->(1x1)
119	      2.4	1	      2.4	      0.0	  88126.2	     99.9	value	GPU-0	(no input)->((int64) 1x1)
120	      1.2	2	      2.4	      0.0	  88128.6	     99.9	Reshape	GPU-0	(200x20x10000)(2x1)->(4000x10000)
121	      1.1	2	      2.3	      0.0	  88130.9	     99.9	read	GPU-0	(400x800)->(400x800)
122	      2.2	1	      2.2	      0.0	  88133.1	     99.9	AssignAdd	GPU-0	(1x1)(1x1)->((int64) 1x1)
123	      1.1	2	      2.1	      0.0	  88135.2	    100.0	read	GPU-0	(800x1)->(800x1)
124	      1.0	2	      2.0	      0.0	  88137.2	    100.0	MEMCPYHtoD	GPU-0	(200x4000)->(no output)
125	      1.9	1	      1.9	      0.0	  88139.1	    100.0	Reshape	GPU-0	(1x1)(1x1)->(20x1)
126	      1.9	1	      1.9	      0.0	  88141.0	    100.0	end	GPU-0	(no input)->((int32) 1x1)
127	      1.9	1	      1.9	      0.0	  88142.9	    100.0	read	CPU-0	(10000x200)->(10000x200)
128	      1.9	1	      1.9	      0.0	  88144.8	    100.0	Variable	GPU-0	(no input)->(1x1)
129	      1.9	1	      1.9	      0.0	  88146.7	    100.0	__cf_	CPU-0	(no input)->((int32) 2x1)
130	      1.9	1	      1.9	      0.0	  88148.6	    100.0	begin	GPU-0	(no input)->((int32) 1x1)
131	      1.8	1	      1.8	      0.0	  88150.4	    100.0	PreventGradient	GPU-0	(4000x1)(4000x10000)->(4000x10000)
132	      1.8	1	      1.8	      0.0	  88152.2	    100.0	softmax_b	GPU-0	(no input)->(10000x1)
133	      1.7	1	      1.7	      0.0	  88153.9	    100.0	Reshape	GPU-0	(200x20)(1x1)->(4000x1)
134	      0.8	2	      1.7	      0.0	  88155.6	    100.0	clip_by_global_norm	GPU-0	(400x800)->(400x800)
135	      0.8	2	      1.6	      0.0	  88157.2	    100.0	clip_by_global_norm	GPU-0	(800x1)->(800x1)
136	      1.6	1	      1.6	      0.0	  88158.8	    100.0	Reshape	GPU-0	(200x20x200)(2x1)->(4000x200)
137	      1.5	1	      1.5	      0.0	  88160.3	    100.0	__cf_	GPU-0	(no input)->(1x1)
138	      1.5	1	      1.5	      0.0	  88161.8	    100.0	Sum	GPU-0	(20x1)((int32) 1x1)((int32) 1x1)->(20x1)
139	      1.3	1	      1.3	      0.0	  88163.1	    100.0	__cf_	GPU-0	(no input)->(4000x1)
140	      1.3	1	      1.3	      0.0	  88164.4	    100.0	shape	GPU-0	(no input)->((int32) 2x1)
141	      1.3	1	      1.3	      0.0	  88165.7	    100.0	Reshape	GPU-0	(4000x200)(2x1)->(200x4000)
142	      1.3	1	      1.3	      0.0	  88167.0	    100.0	Reshape	GPU-0	(4000x1)(2x1)->(200x20)
143	      1.2	1	      1.2	      0.0	  88168.2	    100.0	Shape	GPU-0	(no input)->((int32) 3x1)
144	      1.1	1	      1.1	      0.0	  88169.3	    100.0	NoOp	GPU-0	(no input)->(no output)
145	      1.1	1	      1.1	      0.0	  88170.4	    100.0	shape	GPU-0	(no input)->((int32) 3x1)
146	      1.0	1	      1.0	      0.0	  88171.4	    100.0	clip_by_global_norm	GPU-0	(4000x200)->(4000x200)
147	      1.0	1	      1.0	      0.0	  88172.4	    100.0	read	GPU-0	(200x10000)->(200x10000)
148	      0.9	1	      0.9	      0.0	  88173.3	    100.0	Shape	GPU-0	(no input)->((int32) 1x1)
149	      0.8	1	      0.8	      0.0	  88174.1	    100.0	clip_by_global_norm	GPU-0	(200x10000)->(200x10000)
150	      0.8	1	      0.8	      0.0	  88174.9	    100.0	read	GPU-0	(1x1)->(1x1)
151	      0.8	1	      0.8	      0.0	  88175.7	    100.0	shape	GPU-0	(no input)->((int32) 1x1)
152	      0.7	1	      0.7	      0.0	  88176.4	    100.0	update	GPU-0	(no input)->(no output)
153	      0.7	1	      0.7	      0.0	  88177.1	    100.0	NoOp	CPU-0	(no input)->(no output)
154	      0.7	1	      0.7	      0.0	  88177.8	    100.0	__cf_	GPU-0	(no input)->((int32) 20x1)
155	      0.7	1	      0.7	      0.0	  88178.5	    100.0	read	GPU-0	(10000x1)->(10000x1)
156	      0.6	1	      0.6	      0.0	  88179.1	    100.0	clip_by_global_norm	GPU-0	(10000x1)->(10000x1)
