Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
14	    951.2	6	   5707.4	      2.4	 181533.9	     76.5	Conv2D	GPU-0	(128x192x13x13)(3x3x192x384)->(128x384x13x13)
15	    704.6	8	   5636.9	      2.4	 187170.8	     78.8	Conv2DBackpropFilter	GPU-0	(128x13x13x256)(1x1)(?)->(3x3x256x256)
16	    779.6	7	   5457.0	      2.3	 192627.8	     81.1	Conv2D	GPU-0	(128x64x27x27)(5x5x64x192)->(128x192x27x27)
17	    876.6	6	   5259.9	      2.2	 197887.7	     83.3	Conv2DBackpropInput	GPU-0	((int32) 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)
18	    819.9	6	   4919.7	      2.1	 202807.4	     85.4	Conv2D	GPU-0	(128x256x13x13)(3x3x256x256)->(128x256x13x13)
19	    792.4	6	   4754.4	      2.0	 207561.8	     87.4	Conv2DBackpropInput	GPU-0	((int32) 4x1)(3x3x256x256)(128x256x13x13)->(128x256x13x13)
20	   1722.3	2	   3444.6	      1.5	 211006.4	     88.9	MaxPoolGrad	GPU-0	(?)(128x64x27x27)(128x64x27x27)->(128x64x56x56)
21	    669.4	5	   3347.1	      1.4	 214353.5	     90.3	Relu	GPU-0	(no input)->(no output)
22	    872.7	3	   2618.2	      1.1	 216971.7	     91.4	MaxPool	GPU-0	(no input)->(no output)
23	   1229.2	2	   2458.4	      1.0	 219430.1	     92.4	BiasAdd	GPU-0	(128x64x56x56)(64x1)->(128x64x56x56)
24	   1036.1	2	   2072.2	      0.9	 221502.3	     93.3	ReluGrad	GPU-0	(128x64x56x56)(128x64x56x56)->(128x64x56x56)
25	    797.0	2	   1593.9	      0.7	 223096.2	     94.0	BiasAddGrad	GPU-0	(?)->(64x1)
26	    795.8	2	   1591.6	      0.7	 224687.8	     94.6	MaxPoolGrad	GPU-0	(?)(128x192x13x13)(128x192x13x13)->(128x192x27x27)
27	    715.7	2	   1431.4	      0.6	 226119.2	     95.2	ReluGrad	GPU-0	(128x192x27x27)(128x192x27x27)->(128x192x27x27)
28	    706.4	2	   1412.7	      0.6	 227531.9	     95.8	BiasAdd	GPU-0	(128x192x27x27)(192x1)->(128x192x27x27)
29	    523.1	2	   1046.2	      0.4	 228578.1	     96.3	BiasAddGrad	GPU-0	(128x27x27x192)->(192x1)
30	    495.9	2	    991.7	      0.4	 229569.8	     96.7	MaxPoolGrad	GPU-0	(128x256x13x13)(128x256x6x6)(128x256x6x6)->(128x256x13x13)
31	    236.9	4	    947.8	      0.4	 230517.6	     97.1	ReluGrad	GPU-0	(128x256x13x13)(128x256x13x13)->(128x256x13x13)
32	    215.2	4	    860.7	      0.4	 231378.3	     97.4	BiasAdd	GPU-0	(128x256x13x13)(256x1)->(128x256x13x13)
33	    181.4	4	    725.5	      0.3	 232103.8	     97.7	BiasAddGrad	GPU-0	(128x13x13x256)->(256x1)
34	    356.1	2	    712.2	      0.3	 232816.0	     98.0	ReluGrad	GPU-0	(128x384x13x13)(128x384x13x13)->(128x384x13x13)
35	    312.6	2	    625.2	      0.3	 233441.2	     98.3	BiasAdd	GPU-0	(128x384x13x13)(384x1)->(128x384x13x13)
36	    290.0	2	    580.0	      0.2	 234021.2	     98.6	MEMCPYDtoH	GPU-0	(no input)->transfer 3538944 bytes
37	    252.5	2	    505.0	      0.2	 234526.2	     98.8	MEMCPYDtoH	GPU-0	(no input)->transfer 2654208 bytes
38	    252.1	2	    504.1	      0.2	 235030.3	     99.0	BiasAddGrad	GPU-0	(128x13x13x384)->(384x1)
39	    238.4	2	    476.8	      0.2	 235507.1	     99.2	MEMCPYDtoH	GPU-0	(no input)->transfer 2359296 bytes
40	     95.9	2	    191.8	      0.1	 235698.9	     99.3	MEMCPYDtoH	GPU-0	(no input)->transfer 1228800 bytes
41	    165.2	1	    165.2	      0.1	 235864.1	     99.3	Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer	GPU-0	(128x224x224x3)((int32) 4x1)->(128x3x224x224)
42	     50.5	2	    101.0	      0.0	 235965.1	     99.4	ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x256x13x13)((int32) 4x1)->(128x13x13x256)
43	     81.0	1	     81.0	      0.0	 236046.1	     99.4	pool1	GPU-0	(128x64x56x56)->(128x64x27x27)
44	     79.7	1	     79.7	      0.0	 236125.8	     99.4	pool5	GPU-0	(128x256x13x13)->(128x256x6x6)
45	     74.4	1	     74.4	      0.0	 236200.2	     99.5	mul	GPU-0	(128x256x6x6)->(128x256x6x6)
46	     72.3	1	     72.3	      0.0	 236272.5	     99.5	pool2	GPU-0	(128x192x27x27)->(128x192x13x13)
47	     63.1	1	     63.1	      0.0	 236335.6	     99.5	ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	GPU-0	(128x27x27x192)((int32) 4x1)->(128x192x27x27)
48	     61.3	1	     61.3	      0.0	 236396.9	     99.6	ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x192x27x27)((int32) 4x1)->(128x27x27x192)
49	     56.7	1	     56.7	      0.0	 236453.6	     99.6	ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x384x13x13)((int32) 4x1)->(128x13x13x384)
50	     51.9	1	     51.9	      0.0	 236505.5	     99.6	MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x192x27x27)((int32) 4x1)->(128x27x27x192)
51	     51.8	1	     51.8	      0.0	 236557.3	     99.6	MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x64x56x56)((int32) 4x1)->(128x56x56x64)
52	     51.8	1	     51.8	      0.0	 236609.1	     99.6	ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	GPU-0	(128x56x56x64)((int32) 4x1)->(128x64x56x56)
53	     51.1	1	     51.1	      0.0	 236660.2	     99.7	pool1-2-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x64x27x27)((int32) 4x1)->(128x27x27x64)
54	     47.8	1	     47.8	      0.0	 236708.0	     99.7	conv3-1-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x384x13x13)((int32) 4x1)->(128x13x13x384)
55	     47.6	1	     47.6	      0.0	 236755.6	     99.7	pool2-1-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x192x13x13)((int32) 4x1)->(128x13x13x192)
56	     47.5	1	     47.5	      0.0	 236803.1	     99.7	conv4-0-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x256x13x13)((int32) 4x1)->(128x13x13x256)
57	     47.0	1	     47.0	      0.0	 236850.1	     99.7	conv1-0-0-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x64x56x56)((int32) 4x1)->(128x56x56x64)
58	     44.8	1	     44.8	      0.0	 236894.9	     99.8	pool1-0-TransposeNHWCToNCHW-LayoutOptimizer	GPU-0	(128x56x56x64)((int32) 4x1)->(128x64x56x56)
59	     43.6	1	     43.6	      0.0	 236938.5	     99.8	ReluGrad-0-2-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x64x56x56)((int32) 4x1)->(128x56x56x64)
60	     42.8	1	     42.8	      0.0	 236981.3	     99.8	pool2-0-TransposeNHWCToNCHW-LayoutOptimizer	GPU-0	(128x27x27x192)((int32) 4x1)->(128x192x27x27)
61	     39.2	1	     39.2	      0.0	 237020.5	     99.8	conv1	GPU-0	(128x64x56x56)->(128x64x56x56)
62	     37.3	1	     37.3	      0.0	 237057.8	     99.8	conv2-2-1-TransposeNCHWToNHWC-LayoutOptimizer	GPU-0	(128x192x27x27)((int32) 4x1)->(128x27x27x192)
63	     32.9	1	     32.9	      0.0	 237090.7	     99.8	conv4	GPU-0	(128x256x13x13)->(128x256x13x13)
64	     32.9	1	     32.9	      0.0	 237123.6	     99.9	conv5	GPU-0	(128x256x13x13)->(128x256x13x13)
65	     32.4	1	     32.4	      0.0	 237156.0	     99.9	conv3	GPU-0	(128x384x13x13)->(128x384x13x13)
66	     32.4	1	     32.4	      0.0	 237188.4	     99.9	conv2	GPU-0	(128x192x27x27)->(128x192x27x27)
67	     12.0	2	     24.0	      0.0	 237212.4	     99.9	_SOURCE	GPU-0	(1x1 Const)->(no output)
68	     19.2	1	     19.2	      0.0	 237231.6	     99.9	Variable	GPU-0	(1x1 Const)->(128x224x224x3)
69	      3.8	5	     18.9	      0.0	 237250.5	     99.9	Const	GPU-0	(1x1 Const)->((int32) 4x1)
70	      8.1	2	     16.2	      0.0	 237266.7	     99.9	BiasAddGrad	CPU-0	(256x1)->(no output)
71	      8.0	2	     16.0	      0.0	 237282.7	     99.9	MEMCPYDtoH	GPU-0	(no input)->transfer 92928 bytes
72	      3.1	4	     12.3	      0.0	 237295.0	     99.9	Conv2DBackpropInput-0-LayoutOptimizer	GPU-0	(1x1 Const)->((int32) 4x1)
73	      5.6	2	     11.2	      0.0	 237306.2	     99.9	biases	GPU-0	(1x1 Const)->(256x1)
74	      9.8	1	      9.8	      0.0	 237316.0	     99.9	weights	GPU-0	(1x1 Const)->(3x3x192x384)
75	      7.6	1	      7.6	      0.0	 237323.6	     99.9	BiasAddGrad	CPU-0	(192x1)->(no output)
76	      7.5	1	      7.5	      0.0	 237331.1	     99.9	weights	GPU-0	(1x1 Const)->(11x11x3x64)
77	      7.0	1	      7.0	      0.0	 237338.1	    100.0	weights	GPU-0	(1x1 Const)->(5x5x64x192)
78	      6.8	1	      6.8	      0.0	 237344.9	    100.0	Conv2DBackpropFilter	CPU-0	(11x11x3x64)->(no output)
79	      6.5	1	      6.5	      0.0	 237351.4	    100.0	Conv2DBackpropFilter	CPU-0	(5x5x64x192)->(no output)
80	      6.5	1	      6.5	      0.0	 237357.9	    100.0	weights	GPU-0	(1x1 Const)->(3x3x256x256)
81	      6.4	1	      6.4	      0.0	 237364.3	    100.0	weights	GPU-0	(1x1 Const)->(3x3x384x256)
82	      6.3	1	      6.3	      0.0	 237370.6	    100.0	biases	GPU-0	(1x1 Const)->(64x1)
83	      5.8	1	      5.8	      0.0	 237376.4	    100.0	biases	GPU-0	(1x1 Const)->(384x1)
84	      5.7	1	      5.7	      0.0	 237382.1	    100.0	BiasAddGrad	CPU-0	(384x1)->(no output)
85	      5.5	1	      5.5	      0.0	 237387.6	    100.0	biases	GPU-0	(1x1 Const)->(192x1)
86	      1.3	4	      5.2	      0.0	 237392.8	    100.0	MEMCPYDtoH	GPU-0	(no input)->transfer 1024 bytes
87	      2.6	2	      5.2	      0.0	 237398.0	    100.0	MEMCPYDtoH	GPU-0	(no input)->transfer 1536 bytes
88	      2.5	2	      5.1	      0.0	 237403.1	    100.0	read	GPU-0	(256x1)->(256x1)
89	      4.4	1	      4.4	      0.0	 237407.5	    100.0	BiasAddGrad	CPU-0	(64x1)->(no output)
90	      4.2	1	      4.2	      0.0	 237411.7	    100.0	Conv2DBackpropFilter	CPU-0	(3x3x192x384)->(no output)
91	      1.7	2	      3.4	      0.0	 237415.1	    100.0	MEMCPYDtoH	GPU-0	(no input)->transfer 768 bytes
92	      3.3	1	      3.3	      0.0	 237418.4	    100.0	read	GPU-0	(3x3x192x384)->(3x3x192x384)
93	      3.2	1	      3.2	      0.0	 237421.6	    100.0	read	GPU-0	(64x1)->(64x1)
94	      3.1	1	      3.1	      0.0	 237424.7	    100.0	read	GPU-0	(128x224x224x3)->(128x224x224x3)
95	      2.8	1	      2.8	      0.0	 237427.5	    100.0	Conv2DBackpropFilter	CPU-0	(3x3x256x256)->(no output)
96	      2.7	1	      2.7	      0.0	 237430.2	    100.0	PermConstNCHWToNHWC-LayoutOptimizer	GPU-0	(1x1 Const)->((int32) 4x1)
97	      2.6	1	      2.6	      0.0	 237432.8	    100.0	read	GPU-0	(5x5x64x192)->(5x5x64x192)
98	      2.6	1	      2.6	      0.0	 237435.4	    100.0	PermConstNHWCToNCHW-LayoutOptimizer	GPU-0	(1x1 Const)->((int32) 4x1)
99	      2.5	1	      2.5	      0.0	 237437.9	    100.0	read	GPU-0	(11x11x3x64)->(11x11x3x64)
100	      2.3	1	      2.3	      0.0	 237440.2	    100.0	read	GPU-0	(3x3x384x256)->(3x3x384x256)
101	      2.2	1	      2.2	      0.0	 237442.4	    100.0	read	GPU-0	(192x1)->(192x1)
102	      2.1	1	      2.1	      0.0	 237444.5	    100.0	read	GPU-0	(384x1)->(384x1)
103	      2.1	1	      2.1	      0.0	 237446.6	    100.0	read	GPU-0	(3x3x256x256)->(3x3x256x256)
104	      1.0	2	      2.0	      0.0	 237448.6	    100.0	MEMCPYDtoD	GPU-0	(no input)->transfer 4718592 bytes
105	      1.0	2	      2.0	      0.0	 237450.6	    100.0	MEMCPYDtoH	GPU-0	(no input)->transfer 256 bytes
106	      1.7	1	      1.7	      0.0	 237452.3	    100.0	Conv2DBackpropFilter	CPU-0	(3x3x384x256)->(no output)
